,OSUR
% Above Low,0.9032
% Held by Institutions,0.8563
52-Wk Range,['2.62 - 9.77']
Annual Dividend $,
Annual Dividend %,
Ask,4.99
Ask Size,800.0
B/A Ratio,0.5
B/A Size,400x800
Beta,0.1
Bid,4.98
Bid Size,400.0
Day Change $,0.0165
Day Change %,0.0033
Day High,4.99
Day Low,4.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.61
Ex-dividend Date,No dividend
Historical Volatility,0.611
Last (size),191.0
Last (time),9:47a ET 11/28/22
Market Cap,360.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,4.97
Price,4.99
Short Interest,0.025
Today's Open,4.95
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.26
Growth 2yr High Est,-0.31914893617021267
Growth 2yr Consensus Est,-0.02957446808510633
Growth 5yr Low Est,0.26
Growth 5yr High Est,-0.31914893617021267
Growth 5yr Consensus Est,-0.02957446808510633
Growth 5yr Actual/Est,-0.23069234006734005
Growth 3yr Historic,-0.3400673400673401
Price/Earnings (TTM),
Price/Sales (TTM),1.10051
Price/Book (MRQ),1.05565
Price/Cash Flow (TTM),
5yr Low,2.62
5yr High,22.22
5yr Avg Return,-0.14428333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.127576
Dividend Growth 5yr,
Short Int Current Month,1740581.0
Short Int Prev Month,1958131.0
Short Int Pct of Float,0.0250071
Days to Cover,2.54565
Float,69.77507
Shares Outstanding,72.62204
Institutions Holding Shares,243.0
FCF Growth 5yr,0.056187088573775044
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.38170000000000004
Operating Profit Margin (TTM),-0.13949999999999999
Net Profit Margin (TTM),-0.1338
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2794
EPS Growth (TTM),-3.0611
Revenue Growth (MRQ),0.4516
Revenue Growth (TTM),0.4078
Return On Equity (TTM),-0.12029999999999999
Return On Assets (TTM),-0.0989
Return On Investment (TTM),-0.1152
Revenue Per Employee (TTM),417795.0
Total Debt/Total Capital (MRQ),0.0063
Change in Debt/Total Capital Quarter over Quarter,-0.005200000000000001
Quick Ratio (MRQ),2.8
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-03-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-20 00:00:00
cfra since,
marketEdge opinion since,
