,UTZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.59,Valuation,
Price/Sales (TTM),1.9,3.73,Valuation,0.5093833780160858
Price/Book (MRQ),3.62,13.84,Valuation,0.2615606936416185
"PEG Ratio (TTM, GAAP)",,0.09,Valuation,
Gross Profit Margin (TTM),0.3131,0.272,Profitability,1.1511029411764704
Operating Profit Margin (TTM),-0.006,-0.0195,Profitability,0.3076923076923077
Net Profit Margin (TTM),-0.0325,0.0633,Profitability,-0.5134281200631912
Annual Dividend Yield,0.0118,0.022400000000000003,Dividend,0.5267857142857142
Dividend Change %,0.8545,0.0626,Dividend,13.650159744408946
"Dividend Growth Rate, 3 Years",,0.03,Dividend,
EPS Growth (MRQ),-1.2818,0.2782,Gowth rates,-4.607476635514018
EPS Growth (TTM),0.7491,2.1703,Gowth rates,0.345159655347187
Revenue Growth (MRQ),0.0362,0.1463,Gowth rates,0.24743677375256323
Revenue Growth (TTM),0.203,0.1387,Gowth rates,1.4635904830569577
Return On Equity (TTM),-0.0318,0.1827,Effectiveness,-0.17405582922824303
Return On Assets (TTM),-0.016200000000000003,0.0553,Effectiveness,-0.2929475587703436
Return On Investment (TTM),-0.024700000000000003,0.06559999999999999,Effectiveness,-0.37652439024390255
Revenue Per Employee (TTM),390506.0,841800.0,Effectiveness,0.4638940365882632
Total Debt/Total Capital (MRQ),0.39,0.42450000000000004,Financial strength,0.9187279151943463
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0048,Financial strength,0.08333333333333334
Quick Ratio (MRQ),1.16,0.77,Financial strength,1.5064935064935063
Interest Coverage (MRQ),1.7,6.87,Financial strength,0.24745269286754001
