,UTZ
% Below High,0.08259999999999999
% Held by Institutions,0.8208
52-Wk Range,['12.06 - 19.98']
Annual Dividend $,0.216
Annual Dividend %,0.0118
Ask,19.5
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.8
Bid,13.97
Bid Size,200.0
Closing Price,18.33
Day Change $,0.0
Day Change %,0.0
Day High,18.59
Day Low,18.13
Dividend Pay Date,2022-10-06 00:00:00
"EPS (TTM, GAAP)",-0.3
Ex-dividend,2022-09-16 00:00:00
Ex-dividend Date,09/16/22
Historical Volatility,0.40399999999999997
Last (size),300.0
Last (time),7:00p ET 11/28/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.33
Short Interest,0.0888
Today's Open,18.27
Volume,409413.0
Volume 10-day Avg,513562.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0
Growth 2yr High Est,0.25
Growth 2yr Consensus Est,0.125
Growth 5yr Low Est,0.0
Growth 5yr High Est,0.25
Growth 5yr Consensus Est,0.125
Growth 5yr Actual/Est,0.11898640353924912
Growth 3yr Historic,0.10569105691056913
Price/Earnings (TTM),
Price/Sales (TTM),1.89653
Price/Book (MRQ),3.62281
Price/Cash Flow (TTM),58.75738
5yr Low,9.55
5yr High,30.09
5yr Avg Return,0.21258
Short Int Current Month,5713554.0
Short Int Prev Month,5877832.0
Short Int Pct of Float,0.0887577
Days to Cover,9.49221
Float,64.3692
Shares Outstanding,140.1618
Institutions Holding Shares,230.0
FCF Growth 5yr,-1.100989682845062
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3131
Operating Profit Margin (TTM),-0.006
Net Profit Margin (TTM),-0.0325
Annual Dividend Yield,0.0118
Dividend Change %,0.8545
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.2818
EPS Growth (TTM),0.7491
Revenue Growth (MRQ),0.0362
Revenue Growth (TTM),0.203
Return On Equity (TTM),-0.0318
Return On Assets (TTM),-0.016200000000000003
Return On Investment (TTM),-0.024700000000000003
Revenue Per Employee (TTM),390506.0
Total Debt/Total Capital (MRQ),0.39
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.16
Interest Coverage (MRQ),1.7
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-04-14 00:00:00
theStreet since,2021-10-14 00:00:00
ford since,2022-04-14 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
