,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,9.88,10.58,22.94,30.09,19.98,,,,,
low,9.55,9.63,9.84,13.72,12.06,,,,,
change,-0.0103,0.0653,1.1417,-0.2809,0.1471,,,,,
Date,,,,,,2022-01-02 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,42.0,15.0,20.0,52.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,133.0,150.0,154.0,146.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-1.0,-1.0,-2.0,-2.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,131.0,148.0,152.0,144.0,Balance Sheet
Notes Recvble - Short Term,,,,,,7.0,6.0,6.0,9.0,Balance Sheet
"Total Receivables, Net",,,,,,138.0,155.0,158.0,153.0,Balance Sheet
Invent. - Finished Goods,,,,,,44.0,53.0,56.0,60.0,Balance Sheet
Invent. - Work In Progress,,,,,,7.0,7.0,7.0,8.0,Balance Sheet
Invent. - Raw Materials,,,,,,29.0,34.0,37.0,39.0,Balance Sheet
Total Inventory,,,,,,80.0,94.0,100.0,107.0,Balance Sheet
Prepaid Expenses,,,,,,18.0,17.0,22.0,34.0,Balance Sheet
Total Current Assets,,,,,,278.0,281.0,300.0,347.0,Balance Sheet
Buildings,,,,,,102.0,102.0,106.0,128.0,Balance Sheet
Land/Improvements,,,,,,29.0,29.0,33.0,33.0,Balance Sheet
Machinery/Equipment,,,,,,214.0,215.0,216.0,238.0,Balance Sheet
Construction in Progress,,,,,,14.0,19.0,62.0,24.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,359.0,365.0,417.0,423.0,Balance Sheet
Accumulated Depreciation,,,,,,-55.0,-67.0,-79.0,-89.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,304.0,299.0,338.0,334.0,Balance Sheet
"Goodwill, Net",,,,,,915.0,915.0,915.0,915.0,Balance Sheet
Intangibles - Gross,,,,,,1188.0,1185.0,1184.0,1183.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-45.0,-54.0,-64.0,-73.0,Balance Sheet
Intangibles - Net,,,,,,1143.0,1130.0,1120.0,1110.0,Balance Sheet
Note Rcvble - Long Term,,,,,,21.0,20.0,19.0,14.0,Balance Sheet
Other Long Term Assets,,,,,,56.0,79.0,82.0,99.0,Balance Sheet
Total Assets,,,,,,2716.0,2723.0,2775.0,2819.0,Balance Sheet
Accounts Payable,,,,,,95.0,105.0,96.0,102.0,Balance Sheet
Accrued Expenses,,,,,,71.0,53.0,66.0,76.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,21.0,24.0,27.0,29.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,0.0,,,,Balance Sheet
Total Current Liabilities,,,,,,188.0,183.0,189.0,207.0,Balance Sheet
Long Term Debt,,,,,,847.0,868.0,893.0,898.0,Balance Sheet
Capital Lease Obligations,,,,,,8.0,8.0,8.0,9.0,Balance Sheet
Total Long Term Debt,,,,,,855.0,876.0,901.0,907.0,Balance Sheet
Total Debt,,,,,,877.0,900.0,929.0,936.0,Balance Sheet
Deferred Income Tax,,,,,,136.0,137.0,136.0,135.0,Balance Sheet
Minority Interest,,,,,,755.0,753.0,747.0,754.0,Balance Sheet
"Other Liabilities, Total",,,,,,102.0,100.0,100.0,107.0,Balance Sheet
Total Liabilities,,,,,,2037.0,2048.0,2073.0,2110.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,913.0,909.0,940.0,941.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-237.0,-254.0,-260.0,-265.0,Balance Sheet
"Other Equity, Total",,,,,,4.0,20.0,21.0,33.0,Balance Sheet
Total Equity,,,,,,680.0,675.0,701.0,709.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,2716.0,2723.0,2775.0,2819.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,78.0,79.0,81.0,81.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,,,59.0,59.0,59.0,59.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,137.0,138.0,140.0,140.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 3,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2022-01-02 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Income Statement
Total Revenue,,,,,,300932.0,340767.0,350147.0,362818.0,Income Statement
"Cost of Revenue, Total",,,,,,210451.0,236960.0,238618.0,244545.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,96357.0,126661.0,107612.0,102445.0,Income Statement
Unusual Expense (Income),,,,,,101.0,-367.0,-1375.0,823.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,,,,,101.0,-367.0,-1375.0,823.0,Income Statement
Total Operating Expense,,,,,,306909.0,363254.0,344855.0,347813.0,Income Statement
Total Operating Income,,,,,,-5977.0,-22487.0,5292.0,15005.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-8225.0,-9103.0,-10727.0,-11648.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,2520.0,1944.0,5760.0,-3672.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,1335.0,520.0,-645.0,205.0,Income Statement
"Other, Net",,,,,,1335.0,520.0,-645.0,205.0,Income Statement
Income Before Tax,,,,,,-10347.0,-29126.0,-320.0,-110.0,Income Statement
Income Tax - Total,,,,,,5835.0,2772.0,-2865.0,-1595.0,Income Statement
Income After Tax,,,,,,-16182.0,-31898.0,2545.0,1485.0,Income Statement
Minority Interest,,,,,,8435.0,14328.0,634.0,-2373.0,Income Statement
Net Inc Before Extra Items,,,,,,-7747.0,-17570.0,3179.0,-888.0,Income Statement
Total Net Income,,,,,,-7747.0,-17570.0,3179.0,-888.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-7747.0,-17570.0,3179.0,-888.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-7747.0,-17570.0,3179.0,-888.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,77571.0,78572.0,80171.0,80813.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.1,-0.22,0.04,-0.01,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.1,-0.22,0.04,-0.01,Income Statement
Diluted Weighted Average Shares,,,,,,77571.0,78572.0,81511.0,80813.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.1,-0.22,0.04,-0.01,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.1,-0.22,0.04,-0.01,Income Statement
