,OXM,Industry,Type,Ratio to Industry
Total Debt/Total Capital (MRQ),0.0,0.31579999999999997,Valuation,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0002,Valuation,
Quick Ratio (MRQ),1.28,1.39,Valuation,0.920863309352518
Interest Coverage (MRQ),275.08,76.17,Valuation,3.611395562557437
Gross Profit Margin (TTM),0.6520999999999999,0.49729999999999996,Profitability,1.3112809169515383
Operating Profit Margin (TTM),0.1693,0.1348,Profitability,1.2559347181008902
Net Profit Margin (TTM),0.1309,0.0965,Profitability,1.3564766839378237
Annual Dividend Yield,0.0195,0.013999999999999999,Dividend,1.392857142857143
Dividend Change %,0.3036,0.0796,Dividend,3.8140703517587937
"Dividend Growth Rate, 3 Years",0.0421,0.059800000000000006,Dividend,0.7040133779264213
EPS Growth (MRQ),0.0095,0.44920000000000004,Gowth rates,0.021148708815672303
EPS Growth (TTM),1.9606000000000001,0.0931,Gowth rates,21.05907626208378
Revenue Growth (MRQ),0.0308,0.0901,Gowth rates,0.341842397336293
Revenue Growth (TTM),0.2752,0.1015,Gowth rates,2.7113300492610835
Return On Equity (TTM),0.3283,0.35840000000000005,Effectiveness,0.9160156249999998
Return On Assets (TTM),0.1751,0.14250000000000002,Effectiveness,1.2287719298245614
Return On Investment (TTM),0.2288,0.1893,Effectiveness,1.208663497094559
Revenue Per Employee (TTM),268863.0,519163.0,Effectiveness,0.5178778148673924
Total Debt/Total Capital (MRQ),0.0,0.31579999999999997,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0002,Financial strength,
Quick Ratio (MRQ),1.28,1.39,Financial strength,0.920863309352518
Interest Coverage (MRQ),275.08,76.17,Financial strength,3.611395562557437
