,OXM
% Below High,0.0591
% Held by Institutions,0.9533
52-Wk Range,['76.21 - 119.50']
Annual Dividend $,2.2
Annual Dividend %,0.0195
Ask,113.43
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.5
Bid,112.36
Bid Size,200.0
Day Change $,-0.55
Day Change %,-0.0049
Day High,112.58
Day Low,111.24
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",9.98
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.43700000000000006
Last (size),100.0
Last (time),9:52a ET 11/28/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.32
Prev Close,112.99
Price,112.44
Short Interest,0.0969
Today's Open,112.49
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3582677165354331
Growth 1yr High Est,0.3287153652392947
Growth 1yr Consensus Est,0.3434915408873639
Growth 2yr Low Est,0.20328844763969722
Growth 2yr High Est,0.24540033664808336
Growth 2yr Consensus Est,0.2243443921438903
Growth 5yr Low Est,-1.55607452216499
Growth 5yr High Est,-1.6616794669009216
Growth 5yr Consensus Est,-1.608876994532956
Growth 5yr Actual/Est,-1.604761794484807
Growth 3yr Historic,-1.7083365305913647
Price/Earnings (TTM),11.32279
Price/Sales (TTM),1.42309
Price/Book (MRQ),3.3675
Price/Cash Flow (TTM),8.62709
5yr Low,30.37
5yr High,119.5
5yr Avg Return,0.10668333333333331
EPS Growth 5yr,0.1891834
Revenue Growth 5yr,0.0223488
Dividend Growth 5yr,0.0661281
Short Int Current Month,1446998.0
Short Int Prev Month,1275807.0
Short Int Pct of Float,0.0968651
Days to Cover,7.25723
Float,14.94527
Shares Outstanding,15.91556
Institutions Holding Shares,322.0
FCF Growth 5yr,1.2360870591536632
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.28
Interest Coverage (MRQ),275.08
Gross Profit Margin (TTM),0.6520999999999999
Operating Profit Margin (TTM),0.1693
Net Profit Margin (TTM),0.1309
Annual Dividend Yield,0.0195
Dividend Change %,0.3036
"Dividend Growth Rate, 3 Years",0.0421
EPS Growth (MRQ),0.0095
EPS Growth (TTM),1.9606000000000001
Revenue Growth (MRQ),0.0308
Revenue Growth (TTM),0.2752
Return On Equity (TTM),0.3283
Return On Assets (TTM),0.1751
Return On Investment (TTM),0.2288
Revenue Per Employee (TTM),268863.0
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2021-09-03 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
