,MMM
% Above Low,0.2052
% Held by Institutions,0.6446999999999999
52-Wk Range,['107.07 - 181.78']
Annual Dividend $,5.96
Annual Dividend %,0.0462
Ask,129.15
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,128.03
Bid Size,100.0
Change Since Close,-0.25| |(-0.19%)
Closing Price,129.04
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",11.47
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.275
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,128.79
Market Cap,71.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.25
Prev Close,129.04
Short Interest,0.024900000000000002
Today's Open,
Volume,143.0
Volume 10-day Avg,2499716.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.04123711340206193
Growth 1yr High Est,0.04444444444444429
Growth 1yr Consensus Est,0.04284077892325311
Growth 2yr Low Est,0.010717566602021111
Growth 2yr High Est,0.0691274446593595
Growth 2yr Consensus Est,0.0399225056306903
Growth 5yr Low Est,0.02777496569406987
Growth 5yr High Est,0.057288264139168626
Growth 5yr Consensus Est,0.04253161491661925
Growth 5yr Actual/Est,0.038457220447708496
Growth 3yr Historic,0.03011245073035007
Price/Earnings (TTM),11.24578
Price/Sales (TTM),2.05184
Price/Book (MRQ),5.06576
Price/Cash Flow (TTM),8.43096
5yr Low,107.07
5yr High,259.77
5yr Avg Return,-0.08886666666666666
EPS Growth 5yr,0.043857
Revenue Growth 5yr,0.0326447
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,13765627.0
Short Int Prev Month,14314641.0
Short Int Pct of Float,0.0249351
Days to Cover,5.76572
Float,535.2128
Shares Outstanding,552.7429
Institutions Holding Shares,2536.0
FCF Growth 5yr,0.3967143243947904
"Price/Earnings (TTM, GAAP)",11.25
"PEG Ratio (TTM, GAAP)",28.11
Gross Profit Margin (TTM),0.4436
Operating Profit Margin (TTM),0.2164
Net Profit Margin (TTM),0.1893
Annual Dividend Yield,0.046200000000000005
Dividend Change %,0.0068000000000000005
"Dividend Growth Rate, 3 Years",0.0286
EPS Growth (MRQ),48.707600000000006
EPS Growth (TTM),0.12380000000000001
Revenue Growth (MRQ),-0.0095
Revenue Growth (TTM),-0.016
Return On Equity (TTM),0.4608
Return On Assets (TTM),0.1394
Return On Investment (TTM),0.1752
Revenue Per Employee (TTM),365916.0
Total Debt/Total Capital (MRQ),0.5259
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),0.97
Interest Coverage (MRQ),20.84
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-25 00:00:00
theStreet since,2022-06-30 00:00:00
cfra since,2022-10-25 00:00:00
ford since,2022-09-30 00:00:00
marketEdge opinion since,
