,ASC
% Below High,0.024399999999999998
% Held by Institutions,0.6504000000000001
52-Wk Range,['3.09 - 15.58']
Annual Dividend $,
Annual Dividend %,
Ask,18.13
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,14.77
Bid Size,100.0
Closing Price,15.2
Day Change $,0.73
Day Change %,0.0504
Day High,15.58
Day Low,14.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.85
Ex-dividend Date,No dividend
Historical Volatility,0.585
Last (size),50.0
Last (time),5:00p ET 11/25/22
Market Cap,616.3M
"P/E Ratio (TTM, GAAP)",8.2
Prev Close,14.47
Short Interest,0.0333
Today's Open,14.47
Volume,803275.0
Volume 10-day Avg,753236.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-3.9649122807017547
Growth 1yr High Est,-4.8659793814432994
Growth 1yr Consensus Est,-4.415445831072527
Growth 2yr Low Est,-2.355237205439635
Growth 2yr High Est,-2.571656357388316
Growth 2yr Consensus Est,-2.4634467814139756
Growth 5yr Low Est,17.096508529706906
Growth 5yr High Est,-4.5349503921050305
Growth 5yr Consensus Est,6.280779068800938
Growth 5yr Actual/Est,-6.397365196078432
Growth 3yr Historic,-5.220238095238096
Price/Earnings (TTM),8.19809
Price/Sales (TTM),1.68689
Price/Book (MRQ),1.48055
Price/Cash Flow (TTM),5.93727
5yr Low,2.61
5yr High,15.34
5yr Avg Return,0.57605
EPS Growth 5yr,
Revenue Growth 5yr,0.0320402
Dividend Growth 5yr,
Short Int Current Month,1230833.0
Short Int Prev Month,1155421.0
Short Int Pct of Float,0.0333347
Days to Cover,1.40371
Float,36.92404
Shares Outstanding,40.54852
Institutions Holding Shares,146.0
FCF Growth 5yr,1.2515943776307836
"Price/Earnings (TTM, GAAP)",8.2
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4515
Operating Profit Margin (TTM),0.2797
Net Profit Margin (TTM),0.21059999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8743000000000001
EPS Growth (TTM),2.2693000000000003
Revenue Growth (MRQ),0.32939999999999997
Revenue Growth (TTM),1.0103
Return On Equity (TTM),0.2054
Return On Assets (TTM),0.10619999999999999
Return On Investment (TTM),0.1218
Revenue Per Employee (TTM),7773810.0
Total Debt/Total Capital (MRQ),0.33740000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003
Quick Ratio (MRQ),1.03
Interest Coverage (MRQ),39.69
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-11-25 00:00:00
ford since,2022-07-01 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
