,NUS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",52.55,63.58,Valuation,0.8265177728845549
Price/Sales (TTM),0.81,4.04,Valuation,0.2004950495049505
Price/Book (MRQ),2.29,11.21,Valuation,0.20428189116859946
"PEG Ratio (TTM, GAAP)",,2.15,Valuation,
Gross Profit Margin (TTM),0.7236,0.7009000000000001,Profitability,1.0323869310886002
Operating Profit Margin (TTM),0.04360000000000001,0.1392,Profitability,0.3132183908045978
Net Profit Margin (TTM),0.0161,0.0978,Profitability,0.16462167689161555
Annual Dividend Yield,0.0396,0.0108,Dividend,3.666666666666667
Dividend Change %,0.013300000000000001,0.0034999999999999996,Dividend,3.8000000000000007
"Dividend Growth Rate, 3 Years",0.013500000000000002,0.0055000000000000005,Dividend,2.4545454545454546
EPS Growth (MRQ),-1.7528000000000001,-0.2306,Gowth rates,7.601040763226367
EPS Growth (TTM),-0.8333,-0.2964,Gowth rates,2.81140350877193
Revenue Growth (MRQ),-0.04070000000000001,-0.0492,Gowth rates,0.8272357723577237
Revenue Growth (TTM),-0.1421,0.046200000000000005,Gowth rates,-3.0757575757575757
Return On Equity (TTM),0.0431,0.289,Effectiveness,0.14913494809688582
Return On Assets (TTM),0.020499999999999997,0.0375,Effectiveness,0.5466666666666666
Return On Investment (TTM),0.0271,0.1008,Effectiveness,0.26884920634920634
Revenue Per Employee (TTM),516686.0,706693.0,Effectiveness,0.7311321889420158
Total Debt/Total Capital (MRQ),0.3354,0.49520000000000003,Financial strength,0.6773021001615508
Change in Debt/Total Capital Quarter over Quarter,0.0022,0.0046,Financial strength,0.4782608695652174
Quick Ratio (MRQ),1.23,1.34,Financial strength,0.917910447761194
Interest Coverage (MRQ),,14.91,Financial strength,
