,NUS
% Above Low,0.29660000000000003
% Held by Institutions,0.9342
52-Wk Range,['29.96 - 56.76']
Annual Dividend $,1.54
Annual Dividend %,0.039599999999999996
Ask,41.0
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,1.2
Bid,34.61
Bid Size,100.0
Closing Price,38.84
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-07 00:00:00
"EPS (TTM, GAAP)",0.74
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.433
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",52.55
Prev Close,38.84
Short Interest,0.0403
Today's Open,
Volume,185687.0
Volume 10-day Avg,439223.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.3645569620253165
Growth 1yr High Est,-0.36228287841191076
Growth 1yr Consensus Est,-0.36341992021861363
Growth 2yr Low Est,-0.11056533360229964
Growth 2yr High Est,-0.0683009722798853
Growth 2yr Consensus Est,-0.08943315294109247
Growth 5yr Low Est,0.014296621224740153
Growth 5yr High Est,0.03876618052672404
Growth 5yr Consensus Est,0.026531400875732095
Growth 5yr Actual/Est,0.02204748810376908
Growth 3yr Historic,0.0778659024260197
Price/Earnings (TTM),52.55253
Price/Sales (TTM),0.80761
Price/Book (MRQ),2.29275
Price/Cash Flow (TTM),17.33494
5yr Low,12.31
5yr High,88.68
5yr Avg Return,-0.06643333333333333
EPS Growth 5yr,0.0234123
Revenue Growth 5yr,0.0407382
Dividend Growth 5yr,0.013703700000000001
Short Int Current Month,1960336.0
Short Int Prev Month,3665472.0
Short Int Pct of Float,0.0403256
Days to Cover,2.54834
Float,48.67969
Shares Outstanding,49.4202
Institutions Holding Shares,294.0
FCF Growth 5yr,-4.823266304565364
"Price/Earnings (TTM, GAAP)",52.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7236
Operating Profit Margin (TTM),0.04360000000000001
Net Profit Margin (TTM),0.0161
Annual Dividend Yield,0.0396
Dividend Change %,0.013300000000000001
"Dividend Growth Rate, 3 Years",0.013500000000000002
EPS Growth (MRQ),-1.7528000000000001
EPS Growth (TTM),-0.8333
Revenue Growth (MRQ),-0.04070000000000001
Revenue Growth (TTM),-0.1421
Return On Equity (TTM),0.0431
Return On Assets (TTM),0.020499999999999997
Return On Investment (TTM),0.0271
Revenue Per Employee (TTM),516686.0
Total Debt/Total Capital (MRQ),0.3354
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),1.23
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-08-05 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
