,PNFP
% Above Low,0.2134
% Held by Institutions,0.8349
52-Wk Range,['67.86 - 111.31']
Annual Dividend $,0.88
Annual Dividend %,0.0105
Ask,82.44
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.1
Bid,82.3
Bid Size,300.0
Day Change $,-1.76
Day Change %,-0.0209
Day High,83.27
Day Low,82.11
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",7.12
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.353
Last (size),100.0
Last (time),11:09a ET 11/28/22
Market Cap,6.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.82
Prev Close,84.1
Price,82.34
Short Interest,0.0226
Today's Open,83.27
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.11702127659574457
Growth 1yr High Est,0.13063063063063063
Growth 1yr Consensus Est,0.1238259536131876
Growth 2yr Low Est,0.01769431176726005
Growth 2yr High Est,0.1629248770683034
Growth 2yr Consensus Est,0.09030959441778172
Growth 5yr Low Est,0.11935296269188442
Growth 5yr High Est,0.17860866516361334
Growth 5yr Consensus Est,0.14898081392774887
Growth 5yr Actual/Est,0.150723638508825
Growth 3yr Historic,0.1063508786521942
Price/Earnings (TTM),11.8194
Price/Sales (TTM),4.33535
Price/Book (MRQ),1.25371
Price/Cash Flow (TTM),10.72458
5yr Low,27.8
5yr High,111.31
5yr Avg Return,0.07101666666666667
EPS Growth 5yr,0.183157
Revenue Growth 5yr,0.2318075
Dividend Growth 5yr,0.051547499999999996
Short Int Current Month,1689830.0
Short Int Prev Month,1839500.0
Short Int Pct of Float,0.0225969
Days to Cover,6.00758
Float,74.78513
Shares Outstanding,76.45481
Institutions Holding Shares,506.0
FCF Growth 5yr,1.279951268322118
"Price/Earnings (TTM, GAAP)",11.82
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4645
Net Profit Margin (TTM),0.37520000000000003
Annual Dividend Yield,0.0105
Dividend Change %,0.125
"Dividend Growth Rate, 3 Years",0.0747
EPS Growth (MRQ),0.0245
EPS Growth (TTM),0.10210000000000001
Revenue Growth (MRQ),0.2715
Revenue Growth (TTM),0.1486
Return On Equity (TTM),0.1072
Return On Assets (TTM),0.0144
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2020-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
