,DNLI
% Above Low,0.4807
% Held by Institutions,0.6825
52-Wk Range,['20.24 - 48.46']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.4
Bid,30.0
Bid Size,100.0
Closing Price,29.97
Day Change $,-0.45
Day Change %,-0.0148
Day High,30.61
Day Low,29.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.46
Ex-dividend Date,No dividend
Historical Volatility,0.693
Last (size),47.0
Last (time),12:59p ET 11/25/22
Market Cap,4.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,30.42
Short Interest,0.059800000000000006
Today's Open,30.09
Volume,165368.0
Volume 10-day Avg,594838.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.26605504587155937
Growth 1yr High Est,0.303030303030303
Growth 1yr Consensus Est,0.2845426744509312
Growth 2yr Low Est,0.3141869432256348
Growth 2yr High Est,0.19570119802677943
Growth 2yr Consensus Est,0.2549440706262071
Growth 5yr Low Est,0.1570934716128174
Growth 5yr High Est,0.09785059901338972
Growth 5yr Consensus Est,0.12747203531310355
Growth 5yr Actual/Est,-1.4641815355438474
Growth 3yr Historic,-1.5244996549344378
Price/Earnings (TTM),
Price/Sales (TTM),36.77106
Price/Book (MRQ),4.57311
Price/Cash Flow (TTM),
5yr Low,12.32
5yr High,93.94
5yr Avg Return,0.4740166666666667
Short Int Current Month,6923825.0
Short Int Prev Month,6982611.0
Short Int Pct of Float,0.0598254
Days to Cover,9.05448
Float,115.7208
Shares Outstanding,135.8137
Institutions Holding Shares,284.0
FCF Growth 5yr,0.15502266120598365
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-2.8232999999999997
Net Profit Margin (TTM),-2.7333999999999996
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7503000000000001
EPS Growth (TTM),-67.1009
Revenue Growth (MRQ),-0.9322
Revenue Growth (TTM),-0.6864
Return On Equity (TTM),-0.3318
Return On Assets (TTM),-0.226
Return On Investment (TTM),-0.2675
Revenue Per Employee (TTM),291300.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
cfra,
theStreet,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-03-03 00:00:00
ford since,
researchTeam since,
marketEdge opinion since,
