,DNLI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),36.77,45.03,Valuation,0.8165667332889186
Price/Book (MRQ),4.57,12.61,Valuation,0.3624107850911975
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-2.8232999999999997,-4.7459,Profitability,0.5948924334688889
Net Profit Margin (TTM),-2.7333999999999996,-4.5467,Profitability,0.6011832757824355
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.7503000000000001,-0.0014000000000000002,Gowth rates,535.9285714285714
EPS Growth (TTM),-67.1009,0.027200000000000002,Gowth rates,-2466.944852941176
Revenue Growth (MRQ),-0.9322,1.3963999999999999,Gowth rates,-0.6675737610999715
Revenue Growth (TTM),-0.6864,0.9747,Gowth rates,-0.7042166820560173
Return On Equity (TTM),-0.3318,0.1967,Effectiveness,-1.686832740213523
Return On Assets (TTM),-0.226,0.0016,Effectiveness,-141.25
Return On Investment (TTM),-0.2675,0.0219,Effectiveness,-12.21461187214612
Revenue Per Employee (TTM),291300.0,1476201.0,Effectiveness,0.1973308512865118
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
