,MLAB
% Above Low,0.544
% Held by Institutions,0.9164
52-Wk Range,['114.21 - 333.42']
Annual Dividend $,0.64
Annual Dividend %,0.0036
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,176.33
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",-0.76
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.41500000000000004
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,941.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,176.33
Short Interest,0.0746
Today's Open,
Volume,21681.0
Volume 10-day Avg,77997.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,3.947368421052631
Growth 2yr High Est,0.8863636363636362
Growth 2yr Consensus Est,2.4168660287081334
Growth 5yr Low Est,3.947368421052631
Growth 5yr High Est,0.8863636363636362
Growth 5yr Consensus Est,2.4168660287081334
Growth 5yr Actual/Est,0.1262524184632393
Growth 3yr Historic,-0.29967350746268656
Price/Earnings (TTM),
Price/Sales (TTM),4.22413
Price/Book (MRQ),2.51431
Price/Cash Flow (TTM),33.09789
5yr Low,114.21
5yr High,333.42
5yr Avg Return,0.10578333333333331
EPS Growth 5yr,-0.3450138
Revenue Growth 5yr,0.14500159999999998
Dividend Growth 5yr,-0.0559125
Short Int Current Month,373921.0
Short Int Prev Month,318276.0
Short Int Pct of Float,0.07459679999999999
Days to Cover,4.44631
Float,5.01347
Shares Outstanding,5.33681
Institutions Holding Shares,223.0
FCF Growth 5yr,-1.2334565411311231
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5901
Operating Profit Margin (TTM),-0.014499999999999999
Net Profit Margin (TTM),-0.0178
Annual Dividend Yield,0.0036
Dividend Change %,-0.25
"Dividend Growth Rate, 3 Years",-0.09140000000000001
EPS Growth (MRQ),1.8928
EPS Growth (TTM),-1.8763
Revenue Growth (MRQ),0.16440000000000002
Revenue Growth (TTM),0.559
Return On Equity (TTM),-0.0103
Return On Assets (TTM),-0.0063
Return On Investment (TTM),-0.0067
Revenue Per Employee (TTM),327132.0
Total Debt/Total Capital (MRQ),0.3447
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),2.13
Interest Coverage (MRQ),3.07
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-29 00:00:00
theStreet since,2022-08-29 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
