,MRC
% Below High,0.1343
% Held by Institutions,0.9620000000000001
52-Wk Range,['6.38 - 13.45']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.2
Bid,11.25
Bid Size,
Closing Price,11.64
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.562
Last (size),39.0
Last (time),5:00p ET 11/25/22
Market Cap,973.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.37
Prev Close,11.64
Short Interest,0.0215
Today's Open,
Volume,139983.0
Volume 10-day Avg,502682.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-4.8
Growth 1yr High Est,-7.76470588235294
Growth 1yr Consensus Est,-6.28235294117647
Growth 2yr Low Est,-2.220175438596491
Growth 2yr High Est,-3.6519181585677742
Growth 2yr Consensus Est,-2.9360467985821326
Growth 5yr Low Est,-1.487206363366042
Growth 5yr High Est,-2.1358182342134646
Growth 5yr Consensus Est,-1.8115122987897534
Growth 5yr Actual/Est,0.20918148880105403
Growth 3yr Historic,-0.8409090909090908
Price/Earnings (TTM),38.36519
Price/Sales (TTM),0.30604
Price/Book (MRQ),2.68083
Price/Cash Flow (TTM),14.74551
5yr Low,3.31
5yr High,22.98
5yr Avg Return,0.023433333333333323
EPS Growth 5yr,
Revenue Growth 5yr,-0.025977999999999998
Dividend Growth 5yr,
Short Int Current Month,1746090.0
Short Int Prev Month,2234484.0
Short Int Pct of Float,0.0215447
Days to Cover,3.23524
Float,81.11912
Shares Outstanding,83.60858
Institutions Holding Shares,236.0
FCF Growth 5yr,0.5886899687411196
"Price/Earnings (TTM, GAAP)",38.37
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2057
Operating Profit Margin (TTM),0.0333
Net Profit Margin (TTM),0.015700000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2473
EPS Growth (TTM),1.6417
Revenue Growth (MRQ),0.066
Revenue Growth (TTM),0.2427
Return On Equity (TTM),0.07490000000000001
Return On Assets (TTM),0.0275
Return On Investment (TTM),0.0386
Revenue Per Employee (TTM),1223077.0
Total Debt/Total Capital (MRQ),0.322
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.96
Interest Coverage (MRQ),11.5
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-03-16 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
