,MRC
Price/Earnings (TTM),38.36519
Price/Sales (TTM),0.30604
Price/Book (MRQ),2.68083
Price/Cash Flow (TTM),14.74551
5yr Low,3.31
5yr High,22.98
5yr Avg Return,0.023433333333333323
EPS Growth 5yr,
Revenue Growth 5yr,-0.025977999999999998
Dividend Growth 5yr,
Short Int Current Month,1746090.0
Short Int Prev Month,2234484.0
Short Int Pct of Float,0.0215447
Days to Cover,3.23524
Float,81.11912
Shares Outstanding,83.60858
Institutions Holding Shares,236.0
% Held by Institutions,0.961978
FCF Growth 5yr,0.5886899687411196
