,ARWR
% Above Low,0.1003
% Held by Institutions,0.6615000000000001
52-Wk Range,['26.81 - 74.77']
Annual Dividend $,
Annual Dividend %,
Ask,30.02
Ask Size,5000.0
B/A Ratio,0.02
B/A Size,100x5000
Beta,1.4
Bid,29.41
Bid Size,100.0
Closing Price,29.5
Day Change $,0.1
Day Change %,0.0034000000000000002
Day High,29.81
Day Low,29.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.48
Ex-dividend Date,No dividend
Historical Volatility,0.665
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,29.4
Short Interest,0.0359
Today's Open,29.29
Volume,507121.0
Volume 10-day Avg,865435.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-28 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.4670658682634734
Growth 2yr High Est,-0.8698630136986302
Growth 2yr Consensus Est,0.2986014272824216
Growth 5yr Low Est,1.4670658682634734
Growth 5yr High Est,-0.8698630136986302
Growth 5yr Consensus Est,0.2986014272824216
Growth 5yr Actual/Est,-0.1859758413707399
Growth 3yr Historic,-0.3995859213250517
Price/Earnings (TTM),
Price/Sales (TTM),12.49323
Price/Book (MRQ),6.87545
Price/Cash Flow (TTM),
5yr Low,3.01
5yr High,93.66
5yr Avg Return,1.0061333333333333
EPS Growth 5yr,
Revenue Growth 5yr,2.874749
Dividend Growth 5yr,
Short Int Current Month,3729660.0
Short Int Prev Month,3897833.0
Short Int Pct of Float,0.0359444
Days to Cover,3.50327
Float,103.1377
Shares Outstanding,105.849
Institutions Holding Shares,366.0
FCF Growth 5yr,2.083641657006289
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.6384000000000001
Net Profit Margin (TTM),-0.6159
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.6573
EPS Growth (TTM),-0.212
Revenue Growth (MRQ),-0.7865000000000001
Revenue Growth (TTM),1.3219999999999998
Return On Equity (TTM),-0.3456
Return On Assets (TTM),-0.2071
Return On Investment (TTM),-0.26940000000000003
Revenue Per Employee (TTM),759693.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-12-30 00:00:00
