,ARWR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),12.49,45.03,Valuation,0.27737064179435933
Price/Book (MRQ),6.88,12.61,Valuation,0.5455987311657415
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-0.6384000000000001,-4.7459,Profitability,0.1345161086411429
Net Profit Margin (TTM),-0.6159,-4.5467,Profitability,0.1354608837178613
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-2.6573,-0.0014000000000000002,Gowth rates,1898.0714285714284
EPS Growth (TTM),-0.212,0.027200000000000002,Gowth rates,-7.7941176470588225
Revenue Growth (MRQ),-0.7865000000000001,1.3963999999999999,Gowth rates,-0.5632340303637927
Revenue Growth (TTM),1.3219999999999998,0.9747,Gowth rates,1.3563147635169794
Return On Equity (TTM),-0.3456,0.1967,Effectiveness,-1.7569903406202338
Return On Assets (TTM),-0.2071,0.0016,Effectiveness,-129.4375
Return On Investment (TTM),-0.26940000000000003,0.0219,Effectiveness,-12.3013698630137
Revenue Per Employee (TTM),759693.0,1476201.0,Effectiveness,0.5146270731424786
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
