,STER
% Above Low,0.0589
% Held by Institutions,0.23829999999999998
52-Wk Range,['12.22 - 28.76']
Annual Dividend $,
Annual Dividend %,
Ask,12.97
Ask Size,600.0
B/A Ratio,0.6666666666666666
B/A Size,400x600
Beta,
Bid,12.94
Bid Size,400.0
Day Change $,-0.35
Day Change %,-0.0263
Day High,13.25
Day Low,12.83
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.633
Last (size),100.0
Last (time),3:28p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",44.01
Prev Close,13.29
Price,12.94
Short Interest,0.0141
Today's Open,13.06
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.24444444444444446
Growth 1yr High Est,0.0747663551401867
Growth 1yr Consensus Est,0.15960539979231558
Growth 2yr Low Est,0.05972222222222218
Growth 2yr High Est,0.09390491670052814
Growth 2yr Consensus Est,0.07681356946137516
Growth 5yr Low Est,0.05972222222222218
Growth 5yr High Est,0.09390491670052814
Growth 5yr Consensus Est,0.07681356946137516
Growth 5yr Actual/Est,0.10017334184837146
Growth 3yr Historic,0.0
Price/Earnings (TTM),44.01245
Price/Sales (TTM),1.67423
Price/Book (MRQ),1.71492
Price/Cash Flow (TTM),11.97684
5yr Low,12.22
5yr High,28.99
5yr Avg Return,-0.3059
Short Int Current Month,1183040.0
Short Int Prev Month,1243296.0
Short Int Pct of Float,0.014064799999999999
Days to Cover,5.14155
Float,73.04189
Shares Outstanding,97.06375
Institutions Holding Shares,125.0
FCF Growth 5yr,-4.316435854911231
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",44.01
"PEG Ratio (TTM, GAAP)",3.93
Gross Profit Margin (TTM),0.4779
Operating Profit Margin (TTM),0.0866
Net Profit Margin (TTM),0.038700000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1941
EPS Growth (TTM),
Revenue Growth (MRQ),-0.030600000000000002
Revenue Growth (TTM),
Return On Equity (TTM),0.041100000000000005
Return On Assets (TTM),0.0209
Return On Investment (TTM),0.0227
Revenue Per Employee (TTM),128415.0
Total Debt/Total Capital (MRQ),0.40159999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.97
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-10 00:00:00
theStreet since,2022-11-10 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
