,ECVT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.02,20.13,Valuation,1.0938897168405366
Price/Sales (TTM),1.47,3.27,Valuation,0.4495412844036697
Price/Book (MRQ),1.6,5.58,Valuation,0.2867383512544803
"PEG Ratio (TTM, GAAP)",0.74,0.12,Valuation,6.166666666666667
Gross Profit Margin (TTM),0.28440000000000004,0.3453,Profitability,0.8236316246741965
Operating Profit Margin (TTM),0.1243,0.0535,Profitability,2.3233644859813083
Net Profit Margin (TTM),0.0695,0.0204,Profitability,3.406862745098039
Annual Dividend Yield,,0.0188,Dividend,
Dividend Change %,,0.102,Dividend,
"Dividend Growth Rate, 3 Years",,0.06910000000000001,Dividend,
EPS Growth (MRQ),0.1499,-0.6111,Gowth rates,-0.24529536900670923
EPS Growth (TTM),0.3865,1.725,Gowth rates,0.22405797101449274
Revenue Growth (MRQ),0.0327,0.212,Gowth rates,0.15424528301886792
Revenue Growth (TTM),0.4293,0.23420000000000002,Gowth rates,1.8330486763450042
Return On Equity (TTM),0.0781,0.2206,Effectiveness,0.3540344514959202
Return On Assets (TTM),0.029300000000000003,0.06420000000000001,Effectiveness,0.45638629283489096
Return On Investment (TTM),0.0315,0.08410000000000001,Effectiveness,0.3745541022592152
Revenue Per Employee (TTM),914627.0,817013.0,Effectiveness,1.11947667907365
Total Debt/Total Capital (MRQ),0.5424,0.4105,Financial strength,1.3213154689403168
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.001,Financial strength,-0.2
Quick Ratio (MRQ),2.04,1.18,Financial strength,1.728813559322034
Interest Coverage (MRQ),6.61,26.2,Financial strength,0.25229007633587786
