,MTSI
% Below High,0.1477
% Held by Institutions,0.7603
52-Wk Range,['42.85 - 80.30']
Annual Dividend $,
Annual Dividend %,
Ask,80.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.0
Bid,45.07
Bid Size,100.0
Closing Price,68.44
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.17
Ex-dividend Date,No dividend
Historical Volatility,0.45299999999999996
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.08
Prev Close,68.44
Short Interest,0.059699999999999996
Today's Open,
Volume,159650.0
Volume 10-day Avg,557870.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.08602150537634412
Growth 1yr High Est,0.14234875444839856
Growth 1yr Consensus Est,0.02816362453602722
Growth 2yr Low Est,-0.0037950664136621737
Growth 2yr High Est,0.12569151118058564
Growth 2yr Consensus Est,0.06094822238346173
Growth 5yr Low Est,0.3909416879894757
Growth 5yr High Est,0.4416270343280112
Growth 5yr Consensus Est,0.41628436115874345
Growth 5yr Actual/Est,0.4197117837733807
Growth 3yr Historic,0.3763763644992881
Price/Earnings (TTM),11.08441
Price/Sales (TTM),7.16346
Price/Book (MRQ),5.68465
Price/Cash Flow (TTM),9.72772
5yr Low,12.33
5yr High,80.3
5yr Avg Return,0.27486666666666665
EPS Growth 5yr,
Revenue Growth 5yr,-0.0068484
Dividend Growth 5yr,
Short Int Current Month,3084268.0
Short Int Prev Month,3724398.0
Short Int Pct of Float,0.059685800000000004
Days to Cover,4.04999
Float,51.66888
Shares Outstanding,70.66842
Institutions Holding Shares,314.0
FCF Growth 5yr,0.7590863639847488
"Price/Earnings (TTM, GAAP)",11.08
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6016
Operating Profit Margin (TTM),0.19649999999999998
Net Profit Margin (TTM),0.6516
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),6.465800000000001
EPS Growth (TTM),10.6431
Revenue Growth (MRQ),0.0342
Revenue Growth (TTM),0.1125
Return On Equity (TTM),0.6694
Return On Assets (TTM),0.32520000000000004
Return On Investment (TTM),0.3498
Revenue Per Employee (TTM),562641.0
Total Debt/Total Capital (MRQ),0.4173
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),7.18
Interest Coverage (MRQ),99.55
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-09 00:00:00
theStreet since,2022-08-03 00:00:00
ford since,2022-09-09 00:00:00
cfra since,
marketEdge opinion since,
