,MTSI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.08,20.56,Valuation,0.538910505836576
Price/Sales (TTM),7.16,7.41,Valuation,0.9662618083670715
Price/Book (MRQ),5.68,13.13,Valuation,0.43259710586443256
"PEG Ratio (TTM, GAAP)",,0.9,Valuation,
Gross Profit Margin (TTM),0.6016,0.5489,Profitability,1.096010202222627
Operating Profit Margin (TTM),0.19649999999999998,0.25739999999999996,Profitability,0.7634032634032635
Net Profit Margin (TTM),0.6516,0.2224,Profitability,2.9298561151079134
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),6.465800000000001,1.5356,Gowth rates,4.210601719197708
EPS Growth (TTM),10.6431,0.2274,Gowth rates,46.803430079155675
Revenue Growth (MRQ),0.0342,0.1335,Gowth rates,0.25617977528089886
Revenue Growth (TTM),0.1125,0.24170000000000003,Gowth rates,0.46545304095986756
Return On Equity (TTM),0.6694,0.36920000000000003,Effectiveness,1.813109425785482
Return On Assets (TTM),0.32520000000000004,0.16010000000000002,Effectiveness,2.031230480949407
Return On Investment (TTM),0.3498,0.1925,Effectiveness,1.8171428571428572
Revenue Per Employee (TTM),562641.0,898550.0,Effectiveness,0.6261654888431362
Total Debt/Total Capital (MRQ),0.4173,0.3576,Financial strength,1.1669463087248324
Change in Debt/Total Capital Quarter over Quarter,-0.0018,0.0,Financial strength,-inf
Quick Ratio (MRQ),7.18,2.24,Financial strength,3.2053571428571423
Interest Coverage (MRQ),99.55,15.8,Financial strength,6.3006329113924044
