,NRG
% Below High,0.1184
% Held by Institutions,1.0167
52-Wk Range,['34.91 - 47.82']
Annual Dividend $,1.4
Annual Dividend %,0.0332
Ask,42.29
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,41.89
Bid Size,100.0
Change Since Close,0.04| |(0.09%)
Closing Price,42.16
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",7.88
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.327
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,42.2
Market Cap,9.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",5.35
Prev Close,42.16
Short Interest,0.0654
Today's Open,
Volume,129.0
Volume 10-day Avg,2368752.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.11920529801324498
Growth 1yr High Est,1.6415525114155254
Growth 1yr Consensus Est,0.8803789047143852
Growth 2yr Low Est,0.1098985069947882
Growth 2yr High Est,0.5454953568313582
Growth 2yr Consensus Est,0.3276969319130732
Growth 5yr Low Est,0.0549492534973941
Growth 5yr High Est,0.2727476784156791
Growth 5yr Consensus Est,0.1638484659565366
Growth 5yr Actual/Est,0.5892636561806986
Growth 3yr Historic,0.7285411882893227
Price/Earnings (TTM),5.35001
Price/Sales (TTM),0.31603
Price/Book (MRQ),1.90768
Price/Cash Flow (TTM),3.50523
5yr Low,19.54
5yr High,47.82
5yr Avg Return,0.07533333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.24799569999999999
Dividend Growth 5yr,0.40791069999999996
Short Int Current Month,14927705.0
Short Int Prev Month,14524662.0
Short Int Pct of Float,0.0654246
Days to Cover,4.85011
Float,228.2446
Shares Outstanding,230.3842
Institutions Holding Shares,779.0
FCF Growth 5yr,2.197023627232276
"Price/Earnings (TTM, GAAP)",5.35
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.16690000000000002
Operating Profit Margin (TTM),0.09230000000000001
Net Profit Margin (TTM),0.061500000000000006
Annual Dividend Yield,0.0332
Dividend Change %,0.0833
"Dividend Growth Rate, 3 Years",1.2127
EPS Growth (MRQ),-0.8683
EPS Growth (TTM),-0.2084
Revenue Growth (MRQ),0.1686
Revenue Growth (TTM),0.39890000000000003
Return On Equity (TTM),0.4103
Return On Assets (TTM),0.06269999999999999
Return On Investment (TTM),0.11170000000000001
Revenue Per Employee (TTM),4632103.0
Total Debt/Total Capital (MRQ),0.6104
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),1.97
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-02-24 00:00:00
theStreet since,2021-08-06 00:00:00
cfra since,2022-02-24 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
