,BRP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.61,Valuation,
Price/Sales (TTM),3.88,2.33,Valuation,1.6652360515021458
Price/Book (MRQ),5.31,3.82,Valuation,1.3900523560209423
"PEG Ratio (TTM, GAAP)",,37.63,Valuation,
Gross Profit Margin (TTM),0.2795,0.0226,Profitability,12.367256637168143
Operating Profit Margin (TTM),-0.0029,0.1298,Profitability,-0.02234206471494607
Net Profit Margin (TTM),-0.0332,0.10460000000000001,Profitability,-0.31739961759082214
Annual Dividend Yield,,0.0168,Dividend,
Dividend Change %,,-0.0075,Dividend,
"Dividend Growth Rate, 3 Years",,0.0225,Dividend,
EPS Growth (MRQ),-3.998,-0.0779,Gowth rates,51.3222079589217
EPS Growth (TTM),-0.1258,-0.005200000000000001,Gowth rates,24.19230769230769
Revenue Growth (MRQ),0.1158,0.0897,Gowth rates,1.2909698996655519
Revenue Growth (TTM),0.8711,0.042800000000000005,Gowth rates,20.352803738317753
Return On Equity (TTM),-0.026000000000000002,0.3775,Effectiveness,-0.06887417218543047
Return On Assets (TTM),-0.0105,0.031200000000000002,Effectiveness,-0.33653846153846156
Return On Investment (TTM),-0.0166,0.035,Effectiveness,-0.47428571428571425
Revenue Per Employee (TTM),330209.0,1261907.0,Effectiveness,0.26167459250166614
Total Debt/Total Capital (MRQ),0.5238,0.4026,Financial strength,1.301043219076006
Change in Debt/Total Capital Quarter over Quarter,0.0046,0.002,Financial strength,2.3
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),-1.43,10.79,Financial strength,-0.13253012048192772
