,GWRE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),5.85,9.39,Valuation,0.6230031948881788
Price/Book (MRQ),3.36,12.63,Valuation,0.2660332541567696
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.43340000000000006,0.7206,Profitability,0.601443241742992
Operating Profit Margin (TTM),-0.2454,0.2172,Profitability,-1.1298342541436464
Net Profit Margin (TTM),-0.222,0.1553,Profitability,-1.4294913071474566
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.4615,-0.0752,Gowth rates,-6.136968085106383
EPS Growth (TTM),-1.7158000000000002,-0.2824,Gowth rates,6.075779036827196
Revenue Growth (MRQ),0.23879999999999998,0.15560000000000002,Gowth rates,1.5347043701799483
Revenue Growth (TTM),0.09330000000000001,0.1906,Gowth rates,0.48950682056663175
Return On Equity (TTM),-0.1204,0.2189,Effectiveness,-0.5500228414801278
Return On Assets (TTM),-0.0786,0.10740000000000001,Effectiveness,-0.7318435754189944
Return On Investment (TTM),-0.0913,0.1387,Effectiveness,-0.6582552271088682
Revenue Per Employee (TTM),240703.0,667721.0,Effectiveness,0.3604843939309981
Total Debt/Total Capital (MRQ),0.1979,0.39659999999999995,Financial strength,0.49899142713061023
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.0004,Financial strength,1.7500000000000002
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-7.26,0.28,Financial strength,-25.928571428571427
