,GWRE
% Above Low,0.1152
% Held by Institutions,1.0023
52-Wk Range,['52.08 - 119.46']
Annual Dividend $,
Annual Dividend %,
Ask,59.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.3
Bid,52.0
Bid Size,100.0
Closing Price,58.08
Day Change $,-0.23
Day Change %,-0.0039000000000000003
Day High,58.44
Day Low,57.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.16
Ex-dividend Date,No dividend
Historical Volatility,0.387
Last (size),26.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,58.31
Short Interest,0.0783
Today's Open,57.9
Volume,523475.0
Volume 10-day Avg,1104626.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6842105263157895
Growth 2yr High Est,-47.99999999999999
Growth 2yr Consensus Est,-24.34210526315789
Growth 5yr Low Est,-0.6842105263157895
Growth 5yr High Est,-47.99999999999999
Growth 5yr Consensus Est,-24.34210526315789
Growth 5yr Actual/Est,-1.1701462636336586
Growth 3yr Historic,-0.6629818594104309
Price/Earnings (TTM),
Price/Sales (TTM),5.85194
Price/Book (MRQ),3.36416
Price/Cash Flow (TTM),
5yr Low,52.08
5yr High,134.22
5yr Avg Return,-0.00948333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0978485
Dividend Growth 5yr,
Short Int Current Month,6382709.0
Short Int Prev Month,6605947.0
Short Int Pct of Float,0.078282
Days to Cover,5.3779
Float,81.63416
Shares Outstanding,81.87611
Institutions Holding Shares,512.0
FCF Growth 5yr,-0.12149375154876026
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.43340000000000006
Operating Profit Margin (TTM),-0.2454
Net Profit Margin (TTM),-0.222
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4615
EPS Growth (TTM),-1.7158000000000002
Revenue Growth (MRQ),0.23879999999999998
Revenue Growth (TTM),0.09330000000000001
Return On Equity (TTM),-0.1204
Return On Assets (TTM),-0.0786
Return On Investment (TTM),-0.0913
Revenue Per Employee (TTM),240703.0
Total Debt/Total Capital (MRQ),0.1979
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-7.26
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-12-03 00:00:00
researchTeam since,2021-07-30 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-12-03 00:00:00
cfra since,
marketEdge opinion since,
