,PEN
% Above Low,0.7006
% Held by Institutions,0.8395999999999999
52-Wk Range,['114.87 - 290.36']
Annual Dividend $,
Annual Dividend %,
Ask,196.03
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.5
Bid,195.14
Bid Size,200.0
Day Change $,-0.6
Day Change %,-0.0031
Day High,196.77
Day Low,192.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.81
Ex-dividend Date,No dividend
Historical Volatility,0.56
Last (size),100.0
Last (time),10:29a ET 11/28/22
Market Cap,7.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,195.94
Price,195.34
Short Interest,0.08539999999999999
Today's Open,193.84
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,12.5
Growth 2yr High Est,6.833333333333333
Growth 2yr Consensus Est,9.666666666666666
Growth 5yr Low Est,12.5
Growth 5yr High Est,6.833333333333333
Growth 5yr Consensus Est,9.666666666666666
Growth 5yr Actual/Est,2.414824823209916
Growth 3yr Historic,1.096243042671614
Price/Earnings (TTM),
Price/Sales (TTM),8.96645
Price/Book (MRQ),7.64004
Price/Cash Flow (TTM),
5yr Low,82.55
5yr High,320.0
5yr Avg Return,0.16238333333333332
EPS Growth 5yr,-0.20617280000000002
Revenue Growth 5yr,0.2320744
Dividend Growth 5yr,
Short Int Current Month,3102540.0
Short Int Prev Month,2804219.0
Short Int Pct of Float,0.085445
Days to Cover,5.51871
Float,36.30923
Shares Outstanding,37.9785
Institutions Holding Shares,352.0
FCF Growth 5yr,1.6058350499339726
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6292
Operating Profit Margin (TTM),-0.0468
Net Profit Margin (TTM),-0.0368
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3865
EPS Growth (TTM),-1.9068
Revenue Growth (MRQ),0.0256
Revenue Growth (TTM),0.1681
Return On Equity (TTM),-0.0367
Return On Assets (TTM),-0.026600000000000002
Return On Investment (TTM),-0.0298
Revenue Per Employee (TTM),218402.0
Total Debt/Total Capital (MRQ),0.027200000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),2.92
Interest Coverage (MRQ),126.37
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-11-05 00:00:00
theStreet since,2022-07-13 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
