,AMCX
% Above Low,0.19829999999999998
% Held by Institutions,0.8564
52-Wk Range,['17.45 - 44.66']
Annual Dividend $,
Annual Dividend %,
Ask,21.19
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.1
Bid,20.63
Bid Size,100.0
Closing Price,20.91
Day Change $,-0.11
Day Change %,-0.0052
Day High,21.25
Day Low,20.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.62
Ex-dividend Date,No dividend
Historical Volatility,0.593
Last (size),483.0
Last (time),1:00p ET 11/25/22
Market Cap,898.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.16
Prev Close,21.02
Short Interest,0.0406
Today's Open,21.0
Volume,275230.0
Volume 10-day Avg,329311.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.23102310231023093
Growth 1yr High Est,-0.16125654450261784
Growth 1yr Consensus Est,-0.19613982340642439
Growth 2yr Low Est,-0.20134846102636011
Growth 2yr High Est,-0.10996659934244496
Growth 2yr Consensus Est,-0.15565753018440254
Growth 5yr Low Est,-0.07588583873567098
Growth 5yr High Est,-0.056285383004555795
Growth 5yr Consensus Est,-0.06608561087011339
Growth 5yr Actual/Est,-0.061311110450927575
Growth 3yr Historic,0.019844248712730356
Price/Earnings (TTM),3.15919
Price/Sales (TTM),0.30613
Price/Book (MRQ),0.89628
Price/Cash Flow (TTM),2.15699
5yr Low,17.45
5yr High,83.63
5yr Avg Return,-0.11551666666666667
EPS Growth 5yr,0.090792
Revenue Growth 5yr,0.0223456
Dividend Growth 5yr,
Short Int Current Month,1121235.0
Short Int Prev Month,1326593.0
Short Int Pct of Float,0.0406435
Days to Cover,2.40198
Float,27.58705
Shares Outstanding,42.97998
Institutions Holding Shares,269.0
FCF Growth 5yr,-1.308757222515846
"Price/Earnings (TTM, GAAP)",3.16
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5481
Operating Profit Margin (TTM),0.1847
Net Profit Margin (TTM),0.10710000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.013600000000000001
EPS Growth (TTM),-0.1159
Revenue Growth (MRQ),-0.0761
Revenue Growth (TTM),-0.0388
Return On Equity (TTM),0.3146
Return On Assets (TTM),0.0556
Return On Investment (TTM),0.0721
Revenue Per Employee (TTM),1688174.0
Total Debt/Total Capital (MRQ),0.6826000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.76
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-08-20 00:00:00
