,PLUS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.67,21.62,Valuation,0.6322849213691026
Price/Sales (TTM),0.73,5.43,Valuation,0.13443830570902396
Price/Book (MRQ),1.98,5.49,Valuation,0.360655737704918
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.2525,0.33659999999999995,Profitability,0.7501485442661915
Operating Profit Margin (TTM),0.0779,-0.0824,Profitability,-0.9453883495145631
Net Profit Margin (TTM),0.0535,-0.1173,Profitability,-0.4560954816709292
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),0.2774,0.1058,Gowth rates,2.6219281663516063
EPS Growth (TTM),1.7176,-0.0147,Gowth rates,-116.843537414966
Revenue Growth (MRQ),0.0771,0.1655,Gowth rates,0.4658610271903323
Revenue Growth (TTM),0.1472,0.1855,Gowth rates,0.7935309973045822
Return On Equity (TTM),0.15380000000000002,0.23850000000000002,Effectiveness,0.6448637316561845
Return On Assets (TTM),0.0808,0.0752,Effectiveness,1.0744680851063828
Return On Investment (TTM),0.1421,0.1041,Effectiveness,1.3650336215177714
Revenue Per Employee (TTM),1203816.0,449465.0,Effectiveness,2.678330904519818
Total Debt/Total Capital (MRQ),0.1406,0.3575,Financial strength,0.39328671328671333
Change in Debt/Total Capital Quarter over Quarter,0.0037,0.0362,Financial strength,0.10220994475138122
Quick Ratio (MRQ),1.31,1.53,Financial strength,0.8562091503267975
Interest Coverage (MRQ),48.68,15.46,Financial strength,3.148771021992238
