,PLUS
% Above Low,0.2777
% Held by Institutions,0.9347
52-Wk Range,['40.37 - 62.82']
Annual Dividend $,
Annual Dividend %,
Ask,51.68
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,51.29
Bid Size,200.0
Day Change $,-0.25
Day Change %,-0.0048
Day High,51.81
Day Low,51.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.79
Ex-dividend Date,No dividend
Historical Volatility,0.381
Last (size),100.0
Last (time),10:53a ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.67
Prev Close,51.83
Price,51.58
Short Interest,0.0147
Today's Open,51.29
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.34359805510534847
Growth 1yr High Est,-0.2653721682847896
Growth 1yr Consensus Est,-0.30448511169506903
Growth 2yr Low Est,-0.06562618804650139
Growth 2yr High Est,-0.09193718546398066
Growth 2yr Consensus Est,-0.07878168675524103
Growth 5yr Low Est,-0.007857657303108084
Growth 5yr High Est,-0.04268990420740015
Growth 5yr Consensus Est,-0.02527378075525412
Growth 5yr Actual/Est,0.13406284968472088
Growth 3yr Historic,0.10381587411801946
Price/Earnings (TTM),13.66735
Price/Sales (TTM),0.7346
Price/Book (MRQ),1.97626
Price/Cash Flow (TTM),11.31253
5yr Low,21.27
5yr High,69.74
5yr Avg Return,0.044050000000000006
EPS Growth 5yr,0.8524276000000001
Revenue Growth 5yr,0.0645756
Dividend Growth 5yr,
Short Int Current Month,386605.0
Short Int Prev Month,422018.0
Short Int Pct of Float,0.014692700000000001
Days to Cover,4.55682
Float,26.32403
Shares Outstanding,26.90671
Institutions Holding Shares,252.0
FCF Growth 5yr,0.2884545184080339
"Price/Earnings (TTM, GAAP)",13.67
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2525
Operating Profit Margin (TTM),0.0779
Net Profit Margin (TTM),0.0535
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2774
EPS Growth (TTM),1.7176
Revenue Growth (MRQ),0.0771
Revenue Growth (TTM),0.1472
Return On Equity (TTM),0.15380000000000002
Return On Assets (TTM),0.0808
Return On Investment (TTM),0.1421
Revenue Per Employee (TTM),1203816.0
Total Debt/Total Capital (MRQ),0.1406
Change in Debt/Total Capital Quarter over Quarter,0.0037
Quick Ratio (MRQ),1.31
Interest Coverage (MRQ),48.68
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-05 00:00:00
theStreet since,2020-11-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
