,BGS
% Above Low,0.07
% Held by Institutions,0.654
52-Wk Range,['12.29 - 34.27']
Annual Dividend $,0.76
Annual Dividend %,0.057800000000000004
Ask,13.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,12.3
Bid Size,100.0
Closing Price,13.15
Day Change $,-0.24
Day Change %,-0.0179
Day High,13.53
Day Low,13.11
Dividend Pay Date,2023-01-30 00:00:00
"EPS (TTM, GAAP)",-0.55
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.373
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,942.4M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.39
Short Interest,0.1653
Today's Open,13.47
Volume,840677.0
Volume 10-day Avg,1941604.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.5133689839572193
Growth 1yr High Est,-0.4897959183673469
Growth 1yr Consensus Est,-0.5015824511622831
Growth 2yr Low Est,-0.28415701945113714
Growth 2yr High Est,-0.12989795918367347
Growth 2yr Consensus Est,-0.2070274893174053
Growth 5yr Low Est,-0.07718242003456502
Growth 5yr High Est,-0.016537254492043546
Growth 5yr Consensus Est,-0.04685983726330427
Growth 5yr Actual/Est,-0.0512466073634564
Growth 3yr Historic,0.052476796891862715
Price/Earnings (TTM),
Price/Sales (TTM),0.44632
Price/Book (MRQ),1.11988
Price/Cash Flow (TTM),22.11668
5yr Low,10.39
5yr High,47.84
5yr Avg Return,-0.08526666666666666
EPS Growth 5yr,-0.0979199
Revenue Growth 5yr,0.0842402
Dividend Growth 5yr,0.033678599999999996
Short Int Current Month,11599912.0
Short Int Prev Month,11259018.0
Short Int Pct of Float,0.16532039999999998
Days to Cover,6.80851
Float,68.74486
Shares Outstanding,71.66814
Institutions Holding Shares,329.0
FCF Growth 5yr,-3.502197693271292
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1825
Operating Profit Margin (TTM),0.025400000000000002
Net Profit Margin (TTM),-0.019
Annual Dividend Yield,0.057800000000000004
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0034999999999999996
EPS Growth (MRQ),-229.39290000000003
EPS Growth (TTM),-1.425
Revenue Growth (MRQ),0.1032
Revenue Growth (TTM),0.058600000000000006
Return On Equity (TTM),-0.0479
Return On Assets (TTM),-0.0101
Return On Investment (TTM),-0.011000000000000001
Revenue Per Employee (TTM),741678.0
Total Debt/Total Capital (MRQ),0.7421
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.98
Interest Coverage (MRQ),1.81
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2021-11-05 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-11 00:00:00
