,SLDP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",2.66,35.21,Valuation,0.07554671968190856
Price/Sales (TTM),92.65,3.92,Valuation,23.635204081632654
Price/Book (MRQ),1.45,4.78,Valuation,0.303347280334728
"PEG Ratio (TTM, GAAP)",,11.27,Valuation,
Gross Profit Margin (TTM),-0.1432,0.13140000000000002,Profitability,-1.089802130898021
Operating Profit Margin (TTM),-5.713500000000001,-0.2583,Profitability,22.11962833914054
Net Profit Margin (TTM),3.924,-0.20260000000000003,Profitability,-19.368213228035536
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.3011,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0053,Dividend,
EPS Growth (MRQ),-1.9055000000000002,1.995,Gowth rates,-0.9551378446115288
EPS Growth (TTM),,-0.031200000000000002,Gowth rates,
Revenue Growth (MRQ),0.0895,0.269,Gowth rates,0.3327137546468401
Revenue Growth (TTM),,0.1174,Gowth rates,
Return On Equity (TTM),3.6452999999999998,0.08130000000000001,Effectiveness,44.83763837638376
Return On Assets (TTM),0.09380000000000001,0.0258,Effectiveness,3.6356589147286824
Return On Investment (TTM),0.09640000000000001,0.0425,Effectiveness,2.2682352941176473
Revenue Per Employee (TTM),67984.0,214262.0,Effectiveness,0.31729378051171
Total Debt/Total Capital (MRQ),0.0015,0.38280000000000003,Financial strength,0.003918495297805642
Change in Debt/Total Capital Quarter over Quarter,-0.0091,0.2187,Financial strength,-0.041609510745313216
Quick Ratio (MRQ),,1.64,Financial strength,
Interest Coverage (MRQ),,46.02,Financial strength,
