,SLDP
% Above Low,0.0045000000000000005
% Held by Institutions,0.2954
52-Wk Range,['4.40 - 14.85']
Annual Dividend $,
Annual Dividend %,
Ask,4.43
Ask Size,800.0
B/A Ratio,1.75
B/A Size,1400x800
Beta,
Bid,4.42
Bid Size,1400.0
Day Change $,-0.13
Day Change %,-0.0286
Day High,4.58
Day Low,4.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.71
Ex-dividend Date,No dividend
Historical Volatility,0.785
Last (size),3.0
Last (time),2:33p ET 11/28/22
Market Cap,776.2M
"P/E Ratio (TTM, GAAP)",2.66
Prev Close,4.55
Price,4.42
Short Interest,0.0527
Today's Open,4.51
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,2.0
Growth 2yr High Est,1.7857142857142856
Growth 2yr Consensus Est,1.8928571428571428
Growth 5yr Low Est,2.0
Growth 5yr High Est,1.7857142857142856
Growth 5yr Consensus Est,1.8928571428571428
Growth 5yr Actual/Est,-0.2484848484848483
Growth 3yr Historic,0.0
Price/Earnings (TTM),2.66101
Price/Sales (TTM),92.65177
Price/Book (MRQ),1.4461
Price/Cash Flow (TTM),21.02158
5yr Low,4.47
5yr High,14.85
5yr Avg Return,-0.31635
Short Int Current Month,6156725.0
Short Int Prev Month,7170846.0
Short Int Pct of Float,0.0527114
Days to Cover,5.05367
Float,124.9074
Shares Outstanding,175.8144
Institutions Holding Shares,165.0
FCF Growth 5yr,0.42077972709551664
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",2.66
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.1432
Operating Profit Margin (TTM),-5.713500000000001
Net Profit Margin (TTM),3.924
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.9055000000000002
EPS Growth (TTM),
Revenue Growth (MRQ),0.0895
Revenue Growth (TTM),
Return On Equity (TTM),3.6452999999999998
Return On Assets (TTM),0.09380000000000001
Return On Investment (TTM),0.09640000000000001
Revenue Per Employee (TTM),67984.0
Total Debt/Total Capital (MRQ),0.0015
Change in Debt/Total Capital Quarter over Quarter,-0.0091
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-10 00:00:00
theStreet since,2022-11-10 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
