,MGPI
% Below High,0.0019
% Held by Institutions,0.8088
52-Wk Range,['71.35 - 125.74']
Annual Dividend $,0.48
Annual Dividend %,0.0038
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,125.5
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",5.29
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.37200000000000005
Last (size),60.0
Last (time),1:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.74
Prev Close,125.5
Short Interest,0.18600000000000003
Today's Open,
Volume,44534.0
Volume 10-day Avg,107976.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,1.127272727272727
Growth 1yr High Est,1.1936936936936937
Growth 1yr Consensus Est,1.1604832104832103
Growth 2yr Low Est,0.5807303807303806
Growth 2yr High Est,0.6358612205634793
Growth 2yr Consensus Est,0.6082958006469299
Growth 5yr Low Est,0.2903651903651903
Growth 5yr High Est,0.31793061028173963
Growth 5yr Consensus Est,0.30414790032346495
Growth 5yr Actual/Est,0.24463394482925094
Growth 3yr Historic,0.19874247503378561
Price/Earnings (TTM),23.74326
Price/Sales (TTM),3.64048
Price/Book (MRQ),3.80823
Price/Cash Flow (TTM),19.75842
5yr Low,21.64
5yr High,124.96
5yr Avg Return,0.1449
EPS Growth 5yr,0.18908429999999998
Revenue Growth 5yr,0.1451371
Dividend Growth 5yr,0.3195079
Short Int Current Month,2370133.0
Short Int Prev Month,2504867.0
Short Int Pct of Float,0.1859844
Days to Cover,17.07638
Float,12.75415
Shares Outstanding,21.99404
Institutions Holding Shares,297.0
FCF Growth 5yr,0.3870588553654499
"Price/Earnings (TTM, GAAP)",23.74
"PEG Ratio (TTM, GAAP)",2.37
Gross Profit Margin (TTM),0.32030000000000003
Operating Profit Margin (TTM),0.217
Net Profit Margin (TTM),0.1557
Annual Dividend Yield,0.0038
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.14470000000000002
EPS Growth (MRQ),-0.06849999999999999
EPS Growth (TTM),0.478
Revenue Growth (MRQ),0.0316
Revenue Growth (TTM),0.35200000000000004
Return On Equity (TTM),0.1757
Return On Assets (TTM),0.10980000000000001
Return On Investment (TTM),0.1202
Revenue Per Employee (TTM),1128289.0
Total Debt/Total Capital (MRQ),0.242
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),1.64
Interest Coverage (MRQ),20.75
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-04-26 00:00:00
ford since,2022-07-08 00:00:00
cfra since,
marketEdge opinion since,
