,MGPI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.74,30.98,Valuation,0.7663008392511297
Price/Sales (TTM),3.64,5.41,Valuation,0.6728280961182994
Price/Book (MRQ),3.81,12.08,Valuation,0.3153973509933775
"PEG Ratio (TTM, GAAP)",2.37,1.83,Valuation,1.2950819672131149
Gross Profit Margin (TTM),0.32030000000000003,0.5436,Profitability,0.5892200147167035
Operating Profit Margin (TTM),0.217,0.2061,Profitability,1.0528869480834546
Net Profit Margin (TTM),0.1557,0.1504,Profitability,1.0352393617021276
Annual Dividend Yield,0.0038,0.0217,Dividend,0.17511520737327188
Dividend Change %,0.0,0.0435,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.14470000000000002,0.0233,Dividend,6.21030042918455
EPS Growth (MRQ),-0.06849999999999999,-56.8582,Gowth rates,0.0012047514694450403
EPS Growth (TTM),0.478,-0.16890000000000002,Gowth rates,-2.830076968620485
Revenue Growth (MRQ),0.0316,0.11,Gowth rates,0.2872727272727273
Revenue Growth (TTM),0.35200000000000004,0.1207,Gowth rates,2.9163214581607293
Return On Equity (TTM),0.1757,0.37020000000000003,Effectiveness,0.47460831982712043
Return On Assets (TTM),0.10980000000000001,0.0808,Effectiveness,1.358910891089109
Return On Investment (TTM),0.1202,0.1226,Effectiveness,0.9804241435562806
Revenue Per Employee (TTM),1128289.0,576805.0,Effectiveness,1.9561012820623955
Total Debt/Total Capital (MRQ),0.242,0.5343,Financial strength,0.4529290660677522
Change in Debt/Total Capital Quarter over Quarter,-0.0016,-0.0009,Financial strength,1.777777777777778
Quick Ratio (MRQ),1.64,1.07,Financial strength,1.5327102803738315
Interest Coverage (MRQ),20.75,9.45,Financial strength,2.195767195767196
