,SON
% Below High,0.102
% Held by Institutions,0.7679
52-Wk Range,['51.52 - 67.06']
Annual Dividend $,1.96
Annual Dividend %,0.032
Ask,60.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,60.2
Bid Size,100.0
Day Change $,-1.03
Day Change %,-0.0168
Day High,60.83
Day Low,60.12
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",4.4
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.282
Last (size),1.0
Last (time),2:53p ET 11/28/22
Market Cap,5.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.91
Prev Close,61.25
Price,60.22
Short Interest,0.0113
Today's Open,60.83
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.7138810198300283
Growth 1yr High Est,0.8258426966292134
Growth 1yr Consensus Est,0.7698618582296208
Growth 2yr Low Est,0.2536347247910472
Growth 2yr High Est,0.3821521175453759
Growth 2yr Consensus Est,0.31789342116821157
Growth 5yr Low Est,0.12825482837266025
Growth 5yr High Est,0.19241783725422812
Growth 5yr Consensus Est,0.1603363328134442
Growth 5yr Actual/Est,0.17864144640147597
Growth 3yr Historic,0.0017653460493632367
Price/Earnings (TTM),13.90513
Price/Sales (TTM),0.85156
Price/Book (MRQ),3.09685
Price/Cash Flow (TTM),8.39987
5yr Low,37.3
5yr High,69.83
5yr Avg Return,0.026549999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.031695
Dividend Growth 5yr,0.042759
Short Int Current Month,1092839.0
Short Int Prev Month,1863182.0
Short Int Pct of Float,0.0112655
Days to Cover,1.8234
Float,97.04975
Shares Outstanding,97.51223
Institutions Holding Shares,553.0
FCF Growth 5yr,-0.8839853886712615
"Price/Earnings (TTM, GAAP)",13.91
"PEG Ratio (TTM, GAAP)",1.16
Gross Profit Margin (TTM),0.1981
Operating Profit Margin (TTM),0.0931
Net Profit Margin (TTM),0.0602
Annual Dividend Yield,0.032
Dividend Change %,0.04650000000000001
"Dividend Growth Rate, 3 Years",0.0357
EPS Growth (MRQ),-0.0724
EPS Growth (TTM),3.7138
Revenue Growth (MRQ),-0.0121
Revenue Growth (TTM),0.26890000000000003
Return On Equity (TTM),0.2299
Return On Assets (TTM),0.071
Return On Investment (TTM),0.0962
Revenue Per Employee (TTM),342133.0
Total Debt/Total Capital (MRQ),0.6187
Change in Debt/Total Capital Quarter over Quarter,0.0051
Quick Ratio (MRQ),0.79
Interest Coverage (MRQ),8.0
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-07-22 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-11 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
