,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,55.77,58.69,66.57,62.47,69.83,67.06,,,,,
low,51.96,46.55,51.29,37.3,54.82,51.52,,,,,
change,0.0176,-0.0045000000000000005,0.1761,-0.0467,-0.0225,0.0393,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,171.0,152.0,175.0,182.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,807.0,1068.0,1091.0,1040.0,Balance Sheet
Other Receivables,,,,,,,45.0,44.0,33.0,46.0,Balance Sheet
"Total Receivables, Net",,,,,,,852.0,1111.0,1124.0,1086.0,Balance Sheet
Invent. - Finished Goods,,,,,,,200.0,418.0,457.0,461.0,Balance Sheet
Invent. - Raw Materials,,,,,,,362.0,450.0,517.0,555.0,Balance Sheet
Total Inventory,,,,,,,562.0,868.0,974.0,1016.0,Balance Sheet
Prepaid Expenses,,,,,,,74.0,120.0,103.0,127.0,Balance Sheet
Total Current Assets,,,,,,,1659.0,2251.0,2376.0,2411.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,1622.0,2068.0,2034.0,2028.0,Balance Sheet
"Goodwill, Net",,,,,,,1325.0,1688.0,1658.0,1642.0,Balance Sheet
Intangibles - Gross,,,,,,,679.0,1177.0,1170.0,1162.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-401.0,-420.0,-437.0,-452.0,Balance Sheet
Intangibles - Net,,,,,,,278.0,757.0,733.0,710.0,Balance Sheet
Other Long Term Assets,,,,,,,164.0,166.0,164.0,163.0,Balance Sheet
Total Assets,,,,,,,5073.0,6956.0,6990.0,6976.0,Balance Sheet
Accounts Payable,,,,,,,721.0,872.0,939.0,888.0,Balance Sheet
Accrued Expenses,,,,,,,400.0,412.0,412.0,442.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,349.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,63.0,441.0,399.0,417.0,Balance Sheet
Customer Advances,,,,,,,-19.0,-28.0,-26.0,-28.0,Balance Sheet
Income Taxes Payable,,,,,,,12.0,18.0,21.0,37.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,-7.0,-10.0,-5.0,8.0,Balance Sheet
Total Current Liabilities,,,,,,,1526.0,1715.0,1745.0,1755.0,Balance Sheet
Long Term Debt,,,,,,,1146.0,2635.0,2636.0,2636.0,Balance Sheet
Capital Lease Obligations,,,,,,,53.0,95.0,92.0,87.0,Balance Sheet
Total Long Term Debt,,,,,,,1199.0,2730.0,2728.0,2723.0,Balance Sheet
Total Debt,,,,,,,1611.0,3171.0,3127.0,3140.0,Balance Sheet
Deferred Income Tax,,,,,,,70.0,125.0,130.0,115.0,Balance Sheet
Minority Interest,,,,,,,12.0,7.0,7.0,6.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,158.0,154.0,154.0,152.0,Balance Sheet
Other LT Liabilities,,,,,,,270.0,313.0,296.0,295.0,Balance Sheet
"Other Liabilities, Total",,,,,,,428.0,467.0,450.0,447.0,Balance Sheet
Total Liabilities,,,,,,,3236.0,5044.0,5060.0,5047.0,Balance Sheet
Common Stock,,,,,,,7.0,7.0,7.0,7.0,Balance Sheet
Additional Paid-In Capital,,,,,,,120.0,120.0,128.0,135.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,2070.0,2141.0,2225.0,2299.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-269.0,-269.0,-339.0,-421.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-91.0,-91.0,-93.0,-92.0,Balance Sheet
Other Comprehensive Income,,,,,,,1.0,4.0,2.0,0.0,Balance Sheet
"Other Equity, Total",,,,,,,-359.0,-357.0,-431.0,-513.0,Balance Sheet
Total Equity,,,,,,,1837.0,1912.0,1930.0,1929.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,5073.0,6956.0,6990.0,6976.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,97.0,97.0,97.0,98.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Income Statement
Total Revenue,,,,,,,1439.0,1771.0,1913.0,1890.0,Income Statement
"Cost of Revenue, Total",,,,,,,1176.0,1399.0,1526.0,1523.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,148.0,167.0,175.0,163.0,Income Statement
Restructuring Charge,,,,,,,5.0,6.0,2.0,9.0,Income Statement
Impair-Assets Held for Use,,,,,,,0.0,6.0,4.0,3.0,Income Statement
Other Unusual Expnse (In),,,,,,,5.0,23.0,8.0,10.0,Income Statement
Unusual Expense (Income),,,,,,,11.0,35.0,15.0,23.0,Income Statement
Total Operating Expense,,,,,,,1334.0,1602.0,1716.0,1708.0,Income Statement
Total Operating Income,,,,,,,105.0,169.0,197.0,182.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-13.0,-21.0,-24.0,-27.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,1.0,2.0,1.0,1.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,-6.0,-1.0,-2.0,-1.0,Income Statement
"Other, Net",,,,,,,-6.0,-1.0,-2.0,-1.0,Income Statement
Income Before Tax,,,,,,,87.0,149.0,173.0,155.0,Income Statement
Income Tax - Total,,,,,,,24.0,35.0,45.0,37.0,Income Statement
Income After Tax,,,,,,,63.0,113.0,128.0,118.0,Income Statement
Minority Interest,,,,,,,-3.0,0.0,0.0,0.0,Income Statement
Equity In Affiliates,,,,,,,5.0,2.0,4.0,4.0,Income Statement
Net Inc Before Extra Items,,,,,,,65.0,115.0,132.0,122.0,Income Statement
Total Net Income,,,,,,,65.0,115.0,132.0,122.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,65.0,115.0,132.0,122.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,65.0,115.0,132.0,122.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,98.0,98.0,98.0,98.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.66,1.18,1.34,1.25,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.66,1.18,1.34,1.25,Income Statement
Diluted Weighted Average Shares,,,,,,,98.0,99.0,99.0,99.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.66,1.17,1.33,1.24,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.66,1.17,1.33,1.24,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.45,0.45,0.49,0.49,Income Statement
Gross Divid - Common Stock,,,,,,,44.0,44.0,48.0,48.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,13.0,21.0,24.0,27.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,45.0,52.0,54.0,64.0,Income Statement
Total Special Items,,,,,,,11.0,35.0,15.0,23.0,Income Statement
Normalzd Income Before Tax,,,,,,,97.0,184.0,187.0,178.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,3.0,8.0,4.0,5.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,27.0,44.0,48.0,42.0,Income Statement
Normalized Income After Tax,,,,,,,70.0,140.0,139.0,136.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,73.0,142.0,143.0,140.0,Income Statement
Basic Normalized EPS,,,,,,,0.74,1.45,1.45,1.42,Income Statement
Diluted Normalized EPS,,,,,,,0.74,1.44,1.44,1.41,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Cash Flow
Net Income,,,,,,,-83.0,116.0,247.0,370.0,Cash Flow
Depreciation/Depletion,,,,,,,239.0,71.0,146.0,231.0,Cash Flow
Deferred Taxes,,,,,,,-159.0,5.0,13.0,-2.0,Cash Flow
Unusual Items,,,,,,,19.0,6.0,9.0,14.0,Cash Flow
Equity in Net Earnings/Loss,,,,,,,-11.0,-2.0,-6.0,-10.0,Cash Flow
Other Non-Cash Items,,,,,,,463.0,-15.0,-3.0,5.0,Cash Flow
Non-Cash Items,,,,,,,471.0,-11.0,1.0,8.0,Cash Flow
Accounts Receivable,,,,,,,-150.0,-130.0,-174.0,-143.0,Cash Flow
Inventories,,,,,,,-130.0,-116.0,-233.0,-288.0,Cash Flow
Prepaid Expenses,,,,,,,-13.0,-7.0,-2.0,-29.0,Cash Flow
Accounts Payable,,,,,,,172.0,60.0,148.0,114.0,Cash Flow
Accrued Expenses,,,,,,,-7.0,0.0,12.0,16.0,Cash Flow
Changes in Working Capital,,,,,,,-170.0,-178.0,-222.0,-286.0,Cash Flow
Total Cash from Operations,,,,,,,299.0,1.0,184.0,322.0,Cash Flow
Capital Expenditures,,,,,,,-256.0,-68.0,-149.0,-237.0,Cash Flow
Acquisition of Business,,,,,,,-22.0,-1349.0,-1334.0,-1338.0,Cash Flow
Sale of Business,,,,,,,92.0,,0.0,0.0,Cash Flow
Sale of Fixed Assets,,,,,,,13.0,0.0,5.0,6.0,Cash Flow
"Investment, Net",,,,,,,8.0,0.0,-2.0,-2.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,90.0,-1348.0,-1331.0,-1334.0,Cash Flow
Total Cash from Investing,,,,,,,-166.0,-1416.0,-1480.0,-1570.0,Cash Flow
Financing Cash Flow Items,,,,,,,-17.0,-14.0,-14.0,-14.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-179.0,-44.0,-92.0,-139.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,-218.0,-3.0,-4.0,-4.0,Cash Flow
