,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,32.62,19.78,,,,,
low,16.21,9.47,,,,,
change,-0.2763,-0.2057,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,534.0,511.0,512.0,428.0,Balance Sheet
Short Term Investments,,,,,,66.0,Balance Sheet
Cash and Short Term Invs,,,534.0,511.0,512.0,494.0,Balance Sheet
"Trade Accts Recvble, Gross",,,74.0,68.0,70.0,73.0,Balance Sheet
Prov. for Doubtful Accts,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,73.0,68.0,69.0,72.0,Balance Sheet
Prepaid Expenses,,,12.0,12.0,10.0,10.0,Balance Sheet
"Other Curr. Assets, Total",,,22.0,27.0,30.0,33.0,Balance Sheet
Total Current Assets,,,642.0,617.0,622.0,608.0,Balance Sheet
Buildings,,,19.0,19.0,19.0,19.0,Balance Sheet
Machinery/Equipment,,,7.0,7.0,8.0,8.0,Balance Sheet
Construction in Progress,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,5.0,21.0,19.0,18.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,31.0,47.0,46.0,45.0,Balance Sheet
Accumulated Depreciation,,,-21.0,-22.0,-23.0,-24.0,Balance Sheet
Prop./Plant/Equip. - Net,,,10.0,25.0,23.0,21.0,Balance Sheet
"Goodwill, Net",,,13.0,13.0,13.0,13.0,Balance Sheet
Intangibles - Gross,,,44.0,63.0,68.0,59.0,Balance Sheet
Accum. Intangible Amort.,,,-24.0,-29.0,-33.0,-33.0,Balance Sheet
Intangibles - Net,,,34.0,34.0,35.0,36.0,Balance Sheet
Long Term Investments,,,10.0,15.0,15.0,12.0,Balance Sheet
Deferred Charges,,,26.0,28.0,31.0,33.0,Balance Sheet
Restricted Cash - LT,,,3.0,4.0,4.0,4.0,Balance Sheet
Other Long Term Assets,,,3.0,4.0,4.0,4.0,Balance Sheet
Total Assets,,,740.0,739.0,746.0,730.0,Balance Sheet
Accounts Payable,,,35.0,16.0,17.0,17.0,Balance Sheet
Accrued Expenses,,,48.0,51.0,52.0,59.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,208.0,228.0,241.0,238.0,Balance Sheet
Income Taxes Payable,,,11.0,10.0,8.0,7.0,Balance Sheet
Other Payables,,,36.0,32.0,33.0,34.0,Balance Sheet
Other Current Liabilities,,,4.0,3.0,3.0,2.0,Balance Sheet
"Other Curr. Lblts, Total",,,259.0,272.0,285.0,282.0,Balance Sheet
Total Current Liabilities,,,341.0,340.0,354.0,358.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,9.0,19.0,17.0,16.0,Balance Sheet
Total Liabilities,,,350.0,358.0,371.0,374.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,848.0,865.0,889.0,917.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-459.0,-484.0,-514.0,-560.0,Balance Sheet
Cum. Trans. Adjustment,,,0.0,,0.0,0.0,Balance Sheet
Other Comprehensive Income,,,,0.0,,,Balance Sheet
"Other Equity, Total",,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,390.0,381.0,375.0,357.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,740.0,739.0,746.0,730.0,Balance Sheet
Ttl Comm. Shares Outs.,,,139.0,140.0,141.0,141.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,135451.0,152223.0,153112.0,158432.0,Income Statement
"Cost of Revenue, Total",,,64122.0,66438.0,65812.0,69080.0,Income Statement
Selling/Gen/Admin Expense,,,84811.0,78721.0,81491.0,87099.0,Income Statement
Labor & Related Expense,,,7870.0,9168.0,10032.0,17100.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,92681.0,87889.0,91523.0,104199.0,Income Statement
Research & Development,,,19209.0,22570.0,23963.0,28062.0,Income Statement
