,UDMY
% Above Low,0.6323
% Held by Institutions,0.7371
52-Wk Range,['9.47 - 28.50']
Annual Dividend $,
Annual Dividend %,
Ask,16.17
Ask Size,100.0
B/A Ratio,45.0
B/A Size,4500x100
Beta,
Bid,12.6
Bid Size,4500.0
Closing Price,15.45
Day Change $,-0.24
Day Change %,-0.015300000000000001
Day High,15.96
Day Low,15.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.01
Ex-dividend Date,No dividend
Historical Volatility,0.725
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.69
Short Interest,0.015600000000000001
Today's Open,15.6
Volume,396529.0
Volume 10-day Avg,463467.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0
Growth 2yr High Est,-0.15384615384615385
Growth 2yr Consensus Est,-0.07692307692307693
Growth 5yr Low Est,0.0
Growth 5yr High Est,-0.15384615384615385
Growth 5yr Consensus Est,-0.07692307692307693
Growth 5yr Actual/Est,-0.14056497175141242
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.7004
Price/Book (MRQ),6.21676
Price/Cash Flow (TTM),
5yr Low,9.47
5yr High,32.62
5yr Avg Return,-0.24100000000000002
Short Int Current Month,1971688.0
Short Int Prev Month,2899568.0
Short Int Pct of Float,0.015632
Days to Cover,3.91878
Float,128.5079
Shares Outstanding,141.3224
Institutions Holding Shares,117.0
FCF Growth 5yr,0.2799463327125398
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.557
Operating Profit Margin (TTM),-0.2304
Net Profit Margin (TTM),-0.23879999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.579
EPS Growth (TTM),-1.1169
Revenue Growth (MRQ),0.0347
Revenue Growth (TTM),0.22210000000000002
Return On Equity (TTM),-3.1904000000000003
Return On Assets (TTM),-0.2805
Return On Investment (TTM),-0.7431
Revenue Per Employee (TTM),484021.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
ford,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
ford since,2021-12-31 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
