,UDMY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-674.43,Valuation,
Price/Sales (TTM),3.7,3.81,Valuation,0.9711286089238845
Price/Book (MRQ),6.22,2.94,Valuation,2.1156462585034013
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.557,0.30350000000000005,Profitability,1.8352553542009884
Operating Profit Margin (TTM),-0.2304,0.047,Profitability,-4.902127659574468
Net Profit Margin (TTM),-0.23879999999999998,0.024900000000000002,Profitability,-9.590361445783131
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-0.579,-8.9082,Gowth rates,0.06499629554792213
EPS Growth (TTM),-1.1169,1.3234000000000001,Gowth rates,-0.8439625207798095
Revenue Growth (MRQ),0.0347,0.0315,Gowth rates,1.1015873015873017
Revenue Growth (TTM),0.22210000000000002,0.1202,Gowth rates,1.8477537437603995
Return On Equity (TTM),-3.1904000000000003,0.0073,Effectiveness,-437.041095890411
Return On Assets (TTM),-0.2805,-0.0022,Effectiveness,127.5
Return On Investment (TTM),-0.7431,0.005699999999999999,Effectiveness,-130.3684210526316
Revenue Per Employee (TTM),484021.0,227358.0,Effectiveness,2.1288936391066073
Total Debt/Total Capital (MRQ),0.0,0.5721,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.001,Financial strength,
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),,2.57,Financial strength,
