,IT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",36.95,53.12,Valuation,0.6955948795180724
Price/Sales (TTM),5.13,19.35,Valuation,0.2651162790697674
Price/Book (MRQ),,19.03,Valuation,
"PEG Ratio (TTM, GAAP)",4.65,3.41,Valuation,1.3636363636363638
Gross Profit Margin (TTM),0.6934,0.44520000000000004,Profitability,1.5575022461814914
Operating Profit Margin (TTM),0.18059999999999998,0.3027,Profitability,0.5966303270564914
Net Profit Margin (TTM),0.1441,0.23600000000000002,Profitability,0.610593220338983
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.1435,-3.5570999999999997,Gowth rates,0.040341851508251106
EPS Growth (TTM),0.1507,0.15560000000000002,Gowth rates,0.9685089974293059
Revenue Growth (MRQ),-0.032400000000000005,0.16460000000000002,Gowth rates,-0.1968408262454435
Revenue Growth (TTM),0.1623,0.2273,Gowth rates,0.7140343158820941
Return On Equity (TTM),5.6409,0.5459,Effectiveness,10.333211210844476
Return On Assets (TTM),0.1125,0.1131,Effectiveness,0.9946949602122016
Return On Investment (TTM),0.20190000000000002,0.189,Effectiveness,1.0682539682539685
Revenue Per Employee (TTM),317919.0,686063.0,Effectiveness,0.46339621871460784
Total Debt/Total Capital (MRQ),1.0271,0.5613,Financial strength,1.8298592553001958
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.0048,Financial strength,0.14583333333333337
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),13.45,27.21,Financial strength,0.4943035648658581
