,IT
% Below High,0.0109
% Held by Institutions,0.9248000000000001
52-Wk Range,['221.39 - 346.35']
Annual Dividend $,
Annual Dividend %,
Ask,343.57
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,291.26
Bid Size,100.0
Closing Price,342.57
Day Change $,-0.7
Day Change %,-0.002
Day High,346.26
Day Low,342.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.27
Ex-dividend Date,No dividend
Historical Volatility,0.373
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,27.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.95
Prev Close,343.27
Short Interest,0.0167
Today's Open,344.3
Volume,337531.0
Volume 10-day Avg,378703.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.10526315789473684
Growth 2yr High Est,-0.0038986354775827348
Growth 2yr Consensus Est,-0.054580896686159786
Growth 5yr Low Est,-0.10526315789473684
Growth 5yr High Est,-0.0038986354775827348
Growth 5yr Consensus Est,-0.054580896686159786
Growth 5yr Actual/Est,0.29699441415840083
Growth 3yr Historic,0.2848316816108228
Price/Earnings (TTM),36.94676
Price/Sales (TTM),5.12963
Price/Book (MRQ),
Price/Cash Flow (TTM),28.33916
5yr Low,76.91
5yr High,369.0
5yr Avg Return,0.2399666666666667
EPS Growth 5yr,0.3186638
Revenue Growth 5yr,0.141315
Dividend Growth 5yr,
Short Int Current Month,1277943.0
Short Int Prev Month,1170838.0
Short Int Pct of Float,0.016695
Days to Cover,2.27433
Float,76.56139
Shares Outstanding,79.02438
Institutions Holding Shares,983.0
FCF Growth 5yr,0.749714868992891
"Price/Earnings (TTM, GAAP)",36.95
"PEG Ratio (TTM, GAAP)",4.65
Gross Profit Margin (TTM),0.6934
Operating Profit Margin (TTM),0.18059999999999998
Net Profit Margin (TTM),0.1441
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1435
EPS Growth (TTM),0.1507
Revenue Growth (MRQ),-0.032400000000000005
Revenue Growth (TTM),0.1623
Return On Equity (TTM),5.6409
Return On Assets (TTM),0.1125
Return On Investment (TTM),0.20190000000000002
Revenue Per Employee (TTM),317919.0
Total Debt/Total Capital (MRQ),1.0271
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),13.45
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-08-18 00:00:00
researchTeam since,2022-04-14 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-02 00:00:00
ford since,2022-06-10 00:00:00
marketEdge opinion since,
