,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,12.25,7.59,,,,,
low,5.5,2.33,,,,,
change,-0.3373,-0.5603,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,79.0,104.0,47.0,30.0,Balance Sheet
Short Term Investments,,,104.0,106.0,163.0,163.0,Balance Sheet
Cash and Short Term Invs,,,183.0,210.0,210.0,193.0,Balance Sheet
"Trade Accts Recvble, Net",,,34.0,36.0,39.0,38.0,Balance Sheet
Other Receivables,,,2.0,1.0,1.0,,Balance Sheet
"Total Receivables, Net",,,37.0,37.0,40.0,38.0,Balance Sheet
Invent. - Finished Goods,,,17.0,17.0,22.0,16.0,Balance Sheet
Invent. - Work In Progress,,,12.0,9.0,7.0,10.0,Balance Sheet
Invent. - Raw Materials,,,21.0,29.0,18.0,16.0,Balance Sheet
Total Inventory,,,49.0,55.0,48.0,43.0,Balance Sheet
Prepaid Expenses,,,9.0,8.0,7.0,12.0,Balance Sheet
"Other Curr. Assets, Total",,,6.0,10.0,5.0,,Balance Sheet
Total Current Assets,,,283.0,320.0,309.0,285.0,Balance Sheet
Buildings,,,37.0,26.0,26.0,27.0,Balance Sheet
Land/Improvements,,,8.0,8.0,8.0,8.0,Balance Sheet
Machinery/Equipment,,,77.0,87.0,87.0,88.0,Balance Sheet
Construction in Progress,,,18.0,21.0,21.0,24.0,Balance Sheet
Other Prop./Plant/Equip.,,,81.0,78.0,78.0,77.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,220.0,219.0,221.0,224.0,Balance Sheet
Accumulated Depreciation,,,-16.0,-18.0,-21.0,-25.0,Balance Sheet
Prop./Plant/Equip. - Net,,,204.0,201.0,199.0,199.0,Balance Sheet
Intangibles - Net,,,43.0,43.0,43.0,42.0,Balance Sheet
Other Long Term Assets,,,5.0,5.0,5.0,5.0,Balance Sheet
Total Assets,,,535.0,569.0,555.0,531.0,Balance Sheet
Accounts Payable,,,36.0,31.0,22.0,26.0,Balance Sheet
Accrued Expenses,,,25.0,20.0,26.0,33.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,2.0,1.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,7.0,14.0,26.0,3.0,Balance Sheet
"Other Curr. Lblts, Total",,,4.0,4.0,5.0,,Balance Sheet
Total Current Liabilities,,,72.0,71.0,79.0,63.0,Balance Sheet
Total Long Term Debt,,,77.0,76.0,83.0,107.0,Balance Sheet
Total Debt,,,84.0,92.0,110.0,110.0,Balance Sheet
Deferred Income Tax,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,134.0,128.0,124.0,119.0,Balance Sheet
Total Liabilities,,,283.0,276.0,286.0,289.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,533.0,594.0,601.0,606.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-281.0,-297.0,-325.0,-355.0,Balance Sheet
"Other Equity, Total",,,-1.0,-4.0,-7.0,-9.0,Balance Sheet
Total Equity,,,251.0,293.0,269.0,242.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,535.0,569.0,555.0,531.0,Balance Sheet
Ttl Comm. Shares Outs.,,,178.0,205.0,206.0,206.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,43718.0,92445.0,110747.0,130179.0,Income Statement
"Cost of Revenue, Total",,,45611.0,97667.0,105171.0,125812.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,23982.0,23124.0,22494.0,21042.0,Income Statement
Research & Development,,,14175.0,12306.0,12017.0,11433.0,Income Statement
Impair-Assets Held for Use,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,0.0,,,0.0,Income Statement
Unusual Expense (Income),,,0.0,,,0.0,Income Statement
Total Operating Expense,,,83768.0,133097.0,139682.0,158287.0,Income Statement
Total Operating Income,,,-40050.0,-40652.0,-28935.0,-28108.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,-457.0,-6388.0,-3524.0,-6278.0,Income Statement
"Other, Net",,,-1687.0,30425.0,4961.0,4230.0,Income Statement
Income Before Tax,,,-42194.0,-16615.0,-27498.0,-30156.0,Income Statement
Income Tax - Total,,,13.0,-39.0,56.0,13.0,Income Statement
Income After Tax,,,-42207.0,-16576.0,-27554.0,-30169.0,Income Statement
Net Inc Before Extra Items,,,-42207.0,-16576.0,-27554.0,-30169.0,Income Statement
Total Net Income,,,-42207.0,-16576.0,-27554.0,-30169.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-42207.0,-16576.0,-27554.0,-30169.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-42207.0,-16576.0,-27554.0,-30169.0,Income Statement
Basic/Primary Weighted Average Shares,,,181388.0,160711.0,185530.0,186097.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.23,-0.1,-0.15,-0.16,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.23,-0.1,-0.15,-0.16,Income Statement
Diluted Weighted Average Shares,,,181388.0,160711.0,185530.0,186097.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.23,-0.1,-0.15,-0.16,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.23,-0.1,-0.15,-0.16,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,4357.0,5404.0,5538.0,5562.0,Income Statement
Total Special Items,,,0.0,,,0.0,Income Statement
Normalzd Income Before Tax,,,-42194.0,-16615.0,-27498.0,-30156.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,0.0,,,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,13.0,-39.0,56.0,13.0,Income Statement
Normalized Income After Tax,,,-42207.0,-16576.0,-27554.0,-30169.0,Income Statement
Normalzd Inc Avail to Common,,,-42207.0,-16576.0,-27554.0,-30169.0,Income Statement
Basic Normalized EPS,,,-0.23,-0.1,-0.15,-0.16,Income Statement
Diluted Normalized EPS,,,-0.23,-0.1,-0.15,-0.16,Income Statement
