,BHIL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.59,Valuation,
Price/Sales (TTM),1.76,3.73,Valuation,0.4718498659517426
Price/Book (MRQ),2.74,13.84,Valuation,0.1979768786127168
"PEG Ratio (TTM, GAAP)",,0.09,Valuation,
Gross Profit Margin (TTM),0.0075,0.272,Profitability,0.0275735294117647
Operating Profit Margin (TTM),-0.3653,-0.0195,Profitability,18.733333333333334
Net Profit Margin (TTM),-0.309,0.0633,Profitability,-4.881516587677726
Annual Dividend Yield,,0.022400000000000003,Dividend,
Dividend Change %,,0.0626,Dividend,
"Dividend Growth Rate, 3 Years",,0.03,Dividend,
EPS Growth (MRQ),-0.09150000000000001,0.2782,Gowth rates,-0.3289000718907261
EPS Growth (TTM),0.0037,2.1703,Gowth rates,0.0017048334331659218
Revenue Growth (MRQ),0.17550000000000002,0.1463,Gowth rates,1.1995898838004102
Revenue Growth (TTM),1.9686000000000001,0.1387,Gowth rates,14.193222782984861
Return On Equity (TTM),-0.438,0.1827,Effectiveness,-2.3973727422003286
Return On Assets (TTM),-0.2432,0.0553,Effectiveness,-4.397830018083183
Return On Investment (TTM),-0.2757,0.06559999999999999,Effectiveness,-4.202743902439025
Revenue Per Employee (TTM),837976.0,841800.0,Effectiveness,0.9954573532905678
Total Debt/Total Capital (MRQ),0.3118,0.42450000000000004,Financial strength,0.7345111896348645
Change in Debt/Total Capital Quarter over Quarter,0.0687,0.0048,Financial strength,14.3125
Quick Ratio (MRQ),3.86,0.77,Financial strength,5.012987012987013
Interest Coverage (MRQ),-4.48,6.87,Financial strength,-0.6521106259097526
