,ALXO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),1.52,12.61,Valuation,0.12053925455987312
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.0713,-0.0014000000000000002,Gowth rates,50.92857142857142
EPS Growth (TTM),-0.2516,0.027200000000000002,Gowth rates,-9.249999999999998
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.3607,0.1967,Effectiveness,-1.8337569903406201
Return On Assets (TTM),-0.3379,0.0016,Effectiveness,-211.18749999999997
Return On Investment (TTM),-0.3567,0.0219,Effectiveness,-16.287671232876715
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0014000000000000002,0.4675,Financial strength,0.0029946524064171126
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003,0.0036,Financial strength,-1.0833333333333335
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
