,ALXO
% Above Low,0.8351000000000001
% Held by Institutions,1.0088
52-Wk Range,['5.82 - 36.25']
Annual Dividend $,
Annual Dividend %,
Ask,11.5
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,
Bid,10.01
Bid Size,200.0
Closing Price,10.68
Day Change $,0.06
Day Change %,0.005600000000000001
Day High,10.8
Day Low,10.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.98
Ex-dividend Date,No dividend
Historical Volatility,0.845
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,432.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.62
Short Interest,0.1424
Today's Open,10.61
Volume,30146.0
Volume 10-day Avg,156101.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.4492307692307693
Growth 2yr High Est,-0.17218543046357615
Growth 2yr Consensus Est,0.13852266938359659
Growth 5yr Low Est,0.4492307692307693
Growth 5yr High Est,-0.17218543046357615
Growth 5yr Consensus Est,0.13852266938359659
Growth 5yr Actual/Est,0.12529254934131162
Growth 3yr Historic,-0.07965686274509809
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.51654
Price/Cash Flow (TTM),
5yr Low,5.82
5yr High,117.45
5yr Avg Return,0.032300000000000016
Short Int Current Month,4273543.0
Short Int Prev Month,4353081.0
Short Int Pct of Float,0.14241289999999998
Days to Cover,24.10781
Float,30.00812
Shares Outstanding,40.75545
Institutions Holding Shares,154.0
FCF Growth 5yr,0.3031491538459396
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0713
EPS Growth (TTM),-0.2516
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.3607
Return On Assets (TTM),-0.3379
Return On Investment (TTM),-0.3567
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0014000000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
