,ATEC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),3.21,9.8,Valuation,0.32755102040816325
Price/Book (MRQ),,10.31,Valuation,
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.6568,0.6196,Profitability,1.0600387346675275
Operating Profit Margin (TTM),-0.4707,0.047,Profitability,-10.014893617021277
Net Profit Margin (TTM),-0.49340000000000006,0.009300000000000001,Profitability,-53.053763440860216
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.0271,-0.4858,Gowth rates,-0.05578427336352408
EPS Growth (TTM),-0.0202,-0.2029,Gowth rates,0.09955643173977329
Revenue Growth (MRQ),0.0676,0.1161,Gowth rates,0.5822566752799311
Revenue Growth (TTM),0.49570000000000003,0.18300000000000002,Gowth rates,2.708743169398907
Return On Equity (TTM),-3.5285,0.1068,Effectiveness,-33.03838951310861
Return On Assets (TTM),-0.2824,0.0622,Effectiveness,-4.540192926045016
Return On Investment (TTM),-0.35409999999999997,0.0732,Effectiveness,-4.83743169398907
Revenue Per Employee (TTM),568422.0,403586.0,Effectiveness,1.4084284390439707
Total Debt/Total Capital (MRQ),0.9972,0.3161,Financial strength,3.1546978804175896
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004,0.0125,Financial strength,0.22400000000000003
Quick Ratio (MRQ),1.33,2.25,Financial strength,0.5911111111111111
Interest Coverage (MRQ),-50.93,14.99,Financial strength,-3.3975983989326215
