,DRQ
% Above Low,0.2977
% Held by Institutions,1.0506
52-Wk Range,['18.17 - 41.23']
Annual Dividend $,
Annual Dividend %,
Ask,27.5
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,1.2
Bid,3.0
Bid Size,800.0
Closing Price,23.58
Day Change $,-0.52
Day Change %,-0.0216
Day High,24.38
Day Low,23.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.78
Ex-dividend Date,No dividend
Historical Volatility,0.527
Last (size),16.0
Last (time),5:00p ET 11/25/22
Market Cap,802.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,24.1
Short Interest,0.0426
Today's Open,23.96
Volume,92416.0
Volume 10-day Avg,255070.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.7294117647058823
Growth 1yr High Est,-0.6884057971014492
Growth 1yr Consensus Est,-0.7089087809036658
Growth 2yr Low Est,-0.8647058823529412
Growth 2yr High Est,-1.239551735760027
Growth 2yr Consensus Est,-1.0521288090564842
Growth 5yr Low Est,-0.8647058823529412
Growth 5yr High Est,-1.239551735760027
Growth 5yr Consensus Est,-1.0521288090564842
Growth 5yr Actual/Est,-1.7801424963924966
Growth 3yr Historic,-1.25875
Price/Earnings (TTM),
Price/Sales (TTM),2.33072
Price/Book (MRQ),0.92483
Price/Cash Flow (TTM),
5yr Low,18.17
5yr High,58.95
5yr Avg Return,-0.04291666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.0972836
Dividend Growth 5yr,
Short Int Current Month,1407804.0
Short Int Prev Month,1362715.0
Short Int Pct of Float,0.042553
Days to Cover,5.3818
Float,33.10335
Shares Outstanding,33.91973
Institutions Holding Shares,240.0
FCF Growth 5yr,-0.08227940529938212
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2407
Operating Profit Margin (TTM),-0.19460000000000002
Net Profit Margin (TTM),-0.18280000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.7502
EPS Growth (TTM),0.1697
Revenue Growth (MRQ),-0.0621
Revenue Growth (TTM),0.032799999999999996
Return On Equity (TTM),-0.068
Return On Assets (TTM),-0.0608
Return On Investment (TTM),-0.0666
Revenue Per Employee (TTM),255714.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),6.78
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2020-02-03 00:00:00
ford since,2021-10-29 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-03-06 00:00:00
