,DRQ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,669.05,Valuation,
Price/Sales (TTM),2.33,2.16,Valuation,1.0787037037037037
Price/Book (MRQ),0.92,3.21,Valuation,0.28660436137071654
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.2407,0.1895,Profitability,1.2701846965699208
Operating Profit Margin (TTM),-0.19460000000000002,0.0622,Profitability,-3.128617363344052
Net Profit Margin (TTM),-0.18280000000000002,0.011899999999999999,Profitability,-15.361344537815128
Annual Dividend Yield,,0.0131,Dividend,
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),3.7502,0.659,Gowth rates,5.690743550834598
EPS Growth (TTM),0.1697,-0.1462,Gowth rates,-1.1607387140902872
Revenue Growth (MRQ),-0.0621,0.3728,Gowth rates,-0.1665772532188841
Revenue Growth (TTM),0.032799999999999996,0.2954,Gowth rates,0.11103588354773188
Return On Equity (TTM),-0.068,0.0775,Effectiveness,-0.8774193548387097
Return On Assets (TTM),-0.0608,0.0348,Effectiveness,-1.7471264367816093
Return On Investment (TTM),-0.0666,0.1063,Effectiveness,-0.6265286923800565
Revenue Per Employee (TTM),255714.0,673709.0,Effectiveness,0.37956150207285344
Total Debt/Total Capital (MRQ),0.0,0.3983,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0006,Financial strength,
Quick Ratio (MRQ),6.78,1.2,Financial strength,5.65
Interest Coverage (MRQ),,15.83,Financial strength,
