,ANTM
% Below High,0.0649
% Held by Institutions,0.9085
52-Wk Range,['392.40 - 549.52']
Annual Dividend $,5.12
Annual Dividend %,0.01
Ask,550.0
Ask Size,120.0
B/A Ratio,0.08333333333333333
B/A Size,10x120
Beta,0.9
Bid,506.0
Bid Size,10.0
Closing Price,513.86
Day Change $,6.7
Day Change %,0.0132
Day High,514.73
Day Low,508.36
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",25.49
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.277
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,122.7B
"P/E Ratio (TTM, GAAP)",20.16
Prev Close,507.16
Short Interest,0.008199999999999999
Today's Open,509.67
Volume,464048.0
Volume 10-day Avg,1409175.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.11992263056092844
Growth 1yr High Est,0.07009174311926603
Growth 1yr Consensus Est,0.09500718684009724
Growth 2yr Low Est,0.1160925760749375
Growth 2yr High Est,0.10517618706031884
Growth 2yr Consensus Est,0.11063438156762817
Growth 5yr Low Est,0.13565987441258803
Growth 5yr High Est,0.14411929257560613
Growth 5yr Consensus Est,0.13988958349409708
Growth 5yr Actual/Est,0.13897287332813096
Growth 3yr Historic,0.0780181377502453
Price/Earnings (TTM),20.16194
Price/Sales (TTM),0.80082
Price/Book (MRQ),3.41195
Price/Cash Flow (TTM),15.84557
5yr Low,171.03
5yr High,549.52
5yr Avg Return,0.16206666666666666
EPS Growth 5yr,0.21837489999999998
Revenue Growth 5yr,0.1028473
Dividend Growth 5yr,0.1169482
Short Int Current Month,1937192.0
Short Int Prev Month,2221681.0
Short Int Pct of Float,0.0081518
Days to Cover,1.56204
Float,237.6741
Shares Outstanding,238.8276
Institutions Holding Shares,1966.0
FCF Growth 5yr,0.43227125795067306
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
cfra since,2021-06-11 00:00:00
ford since,2022-06-03 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2010-09-20 00:00:00
marketEdge opinion since,
