,AMPL
% Above Low,0.0646
% Held by Institutions,0.6718000000000001
52-Wk Range,['13.15 - 72.17']
Annual Dividend $,
Annual Dividend %,
Ask,15.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,
Bid,13.5
Bid Size,500.0
Closing Price,14.0
Day Change $,-0.02
Day Change %,-0.0014000000000000002
Day High,14.13
Day Low,13.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.82
Ex-dividend Date,No dividend
Historical Volatility,1.171
Last (size),27.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.02
Short Interest,0.0484
Today's Open,13.88
Volume,103799.0
Volume 10-day Avg,475128.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.27272727272727293
Growth 2yr High Est,-0.2857142857142857
Growth 2yr Consensus Est,-0.006493506493506385
Growth 5yr Low Est,0.27272727272727293
Growth 5yr High Est,-0.2857142857142857
Growth 5yr Consensus Est,-0.006493506493506385
Growth 5yr Actual/Est,-0.1333333333333333
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),7.12747
Price/Book (MRQ),5.36704
Price/Cash Flow (TTM),
5yr Low,13.15
5yr High,87.98
5yr Avg Return,-0.3385
Short Int Current Month,3080132.0
Short Int Prev Month,3766594.0
Short Int Pct of Float,0.0484171
Days to Cover,4.41215
Float,64.75221
Shares Outstanding,113.1399
Institutions Holding Shares,168.0
FCF Growth 5yr,6.457101403817121
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7004
Operating Profit Margin (TTM),-0.41509999999999997
Net Profit Margin (TTM),-0.4105
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0904
EPS Growth (TTM),-0.4915
Revenue Growth (MRQ),0.0599
Revenue Growth (TTM),0.5025000000000001
Return On Equity (TTM),-0.3025
Return On Assets (TTM),-0.2177
Return On Investment (TTM),-0.29660000000000003
Revenue Per Employee (TTM),363126.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-06-03 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
