,AMPL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),7.13,9.39,Valuation,0.759318423855165
Price/Book (MRQ),5.37,12.63,Valuation,0.4251781472684085
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7004,0.7206,Profitability,0.9719678046072717
Operating Profit Margin (TTM),-0.41509999999999997,0.2172,Profitability,-1.9111418047882134
Net Profit Margin (TTM),-0.4105,0.1553,Profitability,-2.6432710882163555
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.0904,-0.0752,Gowth rates,-1.2021276595744679
EPS Growth (TTM),-0.4915,-0.2824,Gowth rates,1.7404390934844194
Revenue Growth (MRQ),0.0599,0.15560000000000002,Gowth rates,0.3849614395886889
Revenue Growth (TTM),0.5025000000000001,0.1906,Gowth rates,2.6364113326337884
Return On Equity (TTM),-0.3025,0.2189,Effectiveness,-1.3819095477386933
Return On Assets (TTM),-0.2177,0.10740000000000001,Effectiveness,-2.027001862197393
Return On Investment (TTM),-0.29660000000000003,0.1387,Effectiveness,-2.1384282624369146
Revenue Per Employee (TTM),363126.0,667721.0,Effectiveness,0.5438289345400249
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
