,HP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",1077.98,669.05,Valuation,1.6112099245198417
Price/Sales (TTM),2.58,2.16,Valuation,1.1944444444444444
Price/Book (MRQ),1.92,3.21,Valuation,0.5981308411214953
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.3049,0.1895,Profitability,1.6089709762532982
Operating Profit Margin (TTM),-0.0072,0.0622,Profitability,-0.1157556270096463
Net Profit Margin (TTM),0.0032,0.011899999999999999,Profitability,0.26890756302521013
Annual Dividend Yield,0.0198,0.0131,Dividend,1.5114503816793894
Dividend Change %,0.0,-0.2443,Dividend,-0.0
"Dividend Growth Rate, 3 Years",-0.2939,-0.21420000000000003,Dividend,1.372082166199813
EPS Growth (MRQ),1.5643,0.659,Gowth rates,2.3737481031866463
EPS Growth (TTM),1.0149,-0.1462,Gowth rates,-6.941860465116279
Revenue Growth (MRQ),0.1474,0.3728,Gowth rates,0.39538626609442057
Revenue Growth (TTM),0.6896,0.2954,Gowth rates,2.334461746784022
Return On Equity (TTM),0.0018,0.0775,Effectiveness,0.0232258064516129
Return On Assets (TTM),0.0014000000000000002,0.0348,Effectiveness,0.04022988505747127
Return On Investment (TTM),0.0016,0.1063,Effectiveness,0.015051740357478834
Revenue Per Employee (TTM),257368.0,673709.0,Effectiveness,0.38201656798409994
Total Debt/Total Capital (MRQ),0.16399999999999998,0.3983,Financial strength,0.4117499372332412
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003,0.0006,Financial strength,-6.500000000000001
Quick Ratio (MRQ),2.32,1.2,Financial strength,1.9333333333333333
Interest Coverage (MRQ),,15.83,Financial strength,
