,HP
% Below High,0.0757
% Held by Institutions,0.9423
52-Wk Range,['20.93 - 54.59']
Annual Dividend $,1.0
Annual Dividend %,0.019799999999999998
Ask,53.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,44.47
Bid Size,100.0
Closing Price,50.46
Day Change $,-1.32
Day Change %,-0.0255
Day High,51.74
Day Low,50.43
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",0.05
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.585
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",1077.98
Prev Close,51.78
Short Interest,0.0489
Today's Open,51.6
Volume,485528.0
Volume 10-day Avg,1096538.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-1.9006849315068493
Growth 1yr High Est,-3.4633027522935778
Growth 1yr Consensus Est,-2.6819938419002134
Growth 2yr Low Est,-0.6404565341944892
Growth 2yr High Est,-1.5966420651598243
Growth 2yr Consensus Est,-1.1185492996771567
Growth 5yr Low Est,-0.42697102279632615
Growth 5yr High Est,-1.064428043439883
Growth 5yr Consensus Est,-0.7456995331181044
Growth 5yr Actual/Est,10.575960473634892
Growth 3yr Historic,0.24619856887298747
Price/Earnings (TTM),1077.975
Price/Sales (TTM),2.58051
Price/Book (MRQ),1.92123
Price/Cash Flow (TTM),12.96762
5yr Low,12.4
5yr High,75.02
5yr Avg Return,0.07784999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.0267056
Dividend Growth 5yr,-0.186105
Short Int Current Month,4977024.0
Short Int Prev Month,4858854.0
Short Int Pct of Float,0.0489191
Days to Cover,5.02141
Float,101.8383
Shares Outstanding,105.2937
Institutions Holding Shares,439.0
FCF Growth 5yr,-0.08457009240477802
"Price/Earnings (TTM, GAAP)",1077.98
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3049
Operating Profit Margin (TTM),-0.0072
Net Profit Margin (TTM),0.0032
Annual Dividend Yield,0.0198
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.2939
EPS Growth (MRQ),1.5643
EPS Growth (TTM),1.0149
Revenue Growth (MRQ),0.1474
Revenue Growth (TTM),0.6896
Return On Equity (TTM),0.0018
Return On Assets (TTM),0.0014000000000000002
Return On Investment (TTM),0.0016
Revenue Per Employee (TTM),257368.0
Total Debt/Total Capital (MRQ),0.16399999999999998
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003
Quick Ratio (MRQ),2.32
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-17 00:00:00
researchTeam since,2022-11-17 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-06-29 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
