,VIVO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",33.36,61.36,Valuation,0.5436766623207301
Price/Sales (TTM),4.2,9.8,Valuation,0.42857142857142855
Price/Book (MRQ),3.79,10.31,Valuation,0.3676042677012609
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.5656,0.6196,Profitability,0.9128469980632665
Operating Profit Margin (TTM),0.16329999999999997,0.047,Profitability,3.4744680851063823
Net Profit Margin (TTM),0.1275,0.009300000000000001,Profitability,13.709677419354838
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),1.7562,-0.4858,Gowth rates,-3.6150679291889665
EPS Growth (TTM),-0.4105,-0.2029,Gowth rates,2.023164120256284
Revenue Growth (MRQ),-0.0309,0.1161,Gowth rates,-0.2661498708010336
Revenue Growth (TTM),0.047599999999999996,0.18300000000000002,Gowth rates,0.2601092896174863
Return On Equity (TTM),0.1219,0.1068,Effectiveness,1.1413857677902621
Return On Assets (TTM),0.09300000000000001,0.0622,Effectiveness,1.4951768488745982
Return On Investment (TTM),0.1051,0.0732,Effectiveness,1.435792349726776
Revenue Per Employee (TTM),432491.0,403586.0,Effectiveness,1.0716204229086241
Total Debt/Total Capital (MRQ),0.0636,0.3161,Financial strength,0.20120215121796903
Change in Debt/Total Capital Quarter over Quarter,-0.006,0.0125,Financial strength,-0.48
Quick Ratio (MRQ),2.46,2.25,Financial strength,1.0933333333333333
Interest Coverage (MRQ),43.08,14.99,Financial strength,2.8739159439626416
