,MTN
% Above Low,0.316
% Held by Institutions,0.9469
52-Wk Range,['201.91 - 348.42']
Annual Dividend $,7.64
Annual Dividend %,0.0288
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,146.25
Bid Size,
Closing Price,265.72
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-24 00:00:00
"EPS (TTM, GAAP)",8.49
Ex-dividend,2022-10-04 00:00:00
Ex-dividend Date,10/04/22
Historical Volatility,0.373
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,10.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.3
Prev Close,265.72
Short Interest,0.024399999999999998
Today's Open,
Volume,200176.0
Volume 10-day Avg,565256.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.031766200762388674
Growth 1yr High Est,0.12148481439820014
Growth 1yr Consensus Est,0.0766255075802944
Growth 2yr Low Est,0.08792743535656378
Growth 2yr High Est,0.10688082244483732
Growth 2yr Consensus Est,0.09740412890070055
Growth 5yr Low Est,0.6933046371011778
Growth 5yr High Est,0.4696077910949122
Growth 5yr Consensus Est,0.5814562140980449
Growth 5yr Actual/Est,0.5516137380895877
Growth 3yr Historic,0.5062544556808282
Price/Earnings (TTM),31.29851
Price/Sales (TTM),4.2419
Price/Book (MRQ),6.63757
Price/Cash Flow (TTM),17.26146
5yr Low,125.0
5yr High,376.24
5yr Avg Return,0.03783333333333334
EPS Growth 5yr,0.10391679999999999
Revenue Growth 5yr,0.057800000000000004
Dividend Growth 5yr,
Short Int Current Month,970882.0
Short Int Prev Month,929671.0
Short Int Pct of Float,0.024386
Days to Cover,2.99954
Float,39.81364
Shares Outstanding,40.32317
Institutions Holding Shares,678.0
FCF Growth 5yr,0.2419429449016315
"Price/Earnings (TTM, GAAP)",31.3
"PEG Ratio (TTM, GAAP)",0.68
Gross Profit Margin (TTM),0.4687
Operating Profit Margin (TTM),0.2382
Net Profit Margin (TTM),0.1458
Annual Dividend Yield,0.0288
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.2944
EPS Growth (TTM),1.8031000000000001
Revenue Growth (MRQ),-0.773
Revenue Growth (TTM),0.32270000000000004
Return On Equity (TTM),0.217
Return On Assets (TTM),0.058600000000000006
Return On Investment (TTM),0.0736
Revenue Per Employee (TTM),366074.0
Total Debt/Total Capital (MRQ),0.5968
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),1.51
Interest Coverage (MRQ),-3.7
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-11-30 00:00:00
cfra since,2021-09-27 00:00:00
ford since,2020-12-11 00:00:00
marketEdge opinion since,
