,MTN
Price/Earnings (TTM),31.29851
Price/Sales (TTM),4.2419
Price/Book (MRQ),6.63757
Price/Cash Flow (TTM),17.26146
5yr Low,125.0
5yr High,376.24
5yr Avg Return,0.03783333333333334
EPS Growth 5yr,0.10391679999999999
Revenue Growth 5yr,0.057800000000000004
Dividend Growth 5yr,
Short Int Current Month,970882.0
Short Int Prev Month,929671.0
Short Int Pct of Float,0.024386
Days to Cover,2.99954
Float,39.81364
Shares Outstanding,40.32317
Institutions Holding Shares,678.0
% Held by Institutions,0.946888
FCF Growth 5yr,0.2419429449016315
