,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,56.2,40.1,,,,,
low,24.33,10.78,,,,,
change,-0.3846,-0.6043999999999999,,,,,
Date,,,2021-12-26 00:00:00,2022-03-27 00:00:00,2022-06-26 00:00:00,2022-09-25 00:00:00,Balance Sheet
Cash and Short Term Invs,,,472.0,437.0,407.0,381.0,Balance Sheet
"Trade Accts Recvble, Net",,,3.0,4.0,4.0,5.0,Balance Sheet
Notes Recvble - Short Term,,,17.0,18.0,16.0,15.0,Balance Sheet
"Total Receivables, Net",,,19.0,22.0,20.0,20.0,Balance Sheet
Total Inventory,,,1.0,1.0,1.0,1.0,Balance Sheet
Prepaid Expenses,,,14.0,11.0,12.0,10.0,Balance Sheet
"Other Curr. Assets, Total",,,1.0,2.0,4.0,1.0,Balance Sheet
Total Current Assets,,,507.0,473.0,444.0,413.0,Balance Sheet
Buildings,,,167.0,178.0,191.0,196.0,Balance Sheet
Machinery/Equipment,,,71.0,75.0,81.0,93.0,Balance Sheet
Other Prop./Plant/Equip.,,,48.0,52.0,61.0,53.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,286.0,305.0,333.0,341.0,Balance Sheet
Accumulated Depreciation,,,-106.0,-114.0,-124.0,-133.0,Balance Sheet
Prop./Plant/Equip. - Net,,,181.0,191.0,209.0,208.0,Balance Sheet
"Goodwill, Net",,,36.0,36.0,36.0,36.0,Balance Sheet
Intangibles - Gross,,,46.0,47.0,48.0,50.0,Balance Sheet
Accum. Intangible Amort.,,,-13.0,-15.0,-17.0,-19.0,Balance Sheet
Intangibles - Net,,,33.0,32.0,31.0,31.0,Balance Sheet
Other Long Term Assets,,,6.0,6.0,7.0,12.0,Balance Sheet
Total Assets,,,763.0,738.0,727.0,700.0,Balance Sheet
Accounts Payable,,,11.0,14.0,14.0,9.0,Balance Sheet
Accrued Expenses,,,28.0,27.0,27.0,28.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,8.0,9.0,9.0,11.0,Balance Sheet
Total Current Liabilities,,,48.0,49.0,51.0,48.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,62.0,61.0,65.0,69.0,Balance Sheet
Total Liabilities,,,110.0,111.0,115.0,117.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,1129.0,1152.0,1178.0,1196.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-476.0,-525.0,-565.0,-613.0,Balance Sheet
"Other Equity, Total",,,0.0,,,,Balance Sheet
Total Equity,,,653.0,627.0,612.0,583.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,763.0,738.0,727.0,700.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,96.0,96.0,96.0,97.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,13.0,13.0,13.0,13.0,Balance Sheet
Ttl Comm. Shares Outs.,,,109.0,110.0,110.0,111.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-26 00:00:00,2022-03-27 00:00:00,2022-06-26 00:00:00,2022-09-25 00:00:00,Income Statement
Total Revenue,,,96426.0,102591.0,124918.0,124026.0,Income Statement
"Cost of Revenue, Total",,,69814.0,74492.0,86044.0,87015.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,63608.0,66984.0,69608.0,61630.0,Income Statement
Depreciation,,,8100.0,8800.0,9400.0,9900.0,Income Statement
Amortiz of Intangibles,,,1900.0,1900.0,1900.0,2000.0,Income Statement
Depreciation/Amortization,,,10000.0,10700.0,11300.0,11900.0,Income Statement
Restructuring Charge,,,,,,11081.0,Income Statement
Impair-Assets Held for Use,,,500.0,,,1693.0,Income Statement
Other Unusual Expnse (In),,,241.0,,152.0,,Income Statement
Unusual Expense (Income),,,792.0,8.0,163.0,12795.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,,51.0,8.0,11.0,21.0,Income Statement
"Other, Net",,,-18384.0,245.0,1618.0,303.0,Income Statement
"Other Operat Expse, Total",,,-9.0,-23.0,5.0,-13.0,Income Statement
Total Operating Expense,,,144205.0,152161.0,167120.0,173327.0,Income Statement
Total Operating Income,,,-47779.0,-49570.0,-42202.0,-49301.0,Income Statement
"Inter Expse,Net Non-Operat",,,-22.0,-23.0,-22.0,-23.0,Income Statement
