,SG
% Above Low,0.1948
% Held by Institutions,0.9538
52-Wk Range,['10.78 - 44.22']
Annual Dividend $,
Annual Dividend %,
Ask,12.9
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,
Bid,12.86
Bid Size,200.0
Day Change $,0.24
Day Change %,0.019
Day High,12.95
Day Low,12.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.63
Ex-dividend Date,No dividend
Historical Volatility,0.9400000000000001
Last (size),100.0
Last (time),2:04p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.64
Price,12.88
Short Interest,0.20079999999999998
Today's Open,12.51
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.1217948717948718
Growth 2yr High Est,-0.34751773049645385
Growth 2yr Consensus Est,-0.23465630114566283
Growth 5yr Low Est,-0.1217948717948718
Growth 5yr High Est,-0.34751773049645385
Growth 5yr Consensus Est,-0.23465630114566283
Growth 5yr Actual/Est,-0.4888042211031118
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.12508
Price/Book (MRQ),2.39942
Price/Cash Flow (TTM),
5yr Low,10.78
5yr High,56.2
5yr Avg Return,-0.49450000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.2459143
Dividend Growth 5yr,
Short Int Current Month,18995448.0
Short Int Prev Month,19470428.0
Short Int Pct of Float,0.2008103
Days to Cover,9.21966
Float,94.59399
Shares Outstanding,110.7528
Institutions Holding Shares,159.0
FCF Growth 5yr,0.16398142900126655
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2915
Operating Profit Margin (TTM),-0.4216
Net Profit Margin (TTM),-0.45270000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1765
EPS Growth (TTM),-2.0296000000000003
Revenue Growth (MRQ),-0.0070999999999999995
Revenue Growth (TTM),0.4802
Return On Equity (TTM),-1.5831
Return On Assets (TTM),-0.3667
Return On Investment (TTM),-0.4037
Revenue Per Employee (TTM),91852.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),8.66
Interest Coverage (MRQ),
newConstructs,rating-box
ford,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
