,SG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,114.03,Valuation,
Price/Sales (TTM),3.13,5.62,Valuation,0.5569395017793594
Price/Book (MRQ),2.4,8.49,Valuation,0.2826855123674911
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.2915,0.4054,Profitability,0.7190429205722743
Operating Profit Margin (TTM),-0.4216,0.163,Profitability,-2.5865030674846623
Net Profit Margin (TTM),-0.45270000000000005,0.0779,Profitability,-5.8112965340179725
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-0.1765,0.3309,Gowth rates,-0.533393774554246
EPS Growth (TTM),-2.0296000000000003,2.1359,Gowth rates,-0.9502317524228664
Revenue Growth (MRQ),-0.0070999999999999995,0.38439999999999996,Gowth rates,-0.01847034339229969
Revenue Growth (TTM),0.4802,0.7695000000000001,Gowth rates,0.6240415854450941
Return On Equity (TTM),-1.5831,0.19090000000000001,Effectiveness,-8.29282346778418
Return On Assets (TTM),-0.3667,0.0758,Effectiveness,-4.837730870712401
Return On Investment (TTM),-0.4037,0.1005,Effectiveness,-4.016915422885572
Revenue Per Employee (TTM),91852.0,285753.0,Effectiveness,0.3214384450906902
Total Debt/Total Capital (MRQ),0.0,1.1596,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.002,Financial strength,
Quick Ratio (MRQ),8.66,0.81,Financial strength,10.691358024691358
Interest Coverage (MRQ),,40.22,Financial strength,
