,ALRM
Price/Earnings (TTM),55.94582
Price/Sales (TTM),2.93674
Price/Book (MRQ),4.09941
Price/Cash Flow (TTM),31.14801
5yr Low,32.0
5yr High,108.67
5yr Avg Return,0.13889999999999994
EPS Growth 5yr,0.3657265
Revenue Growth 5yr,0.23460889999999998
Dividend Growth 5yr,
Short Int Current Month,2121991.0
Short Int Prev Month,2303047.0
Short Int Pct of Float,0.044894100000000006
Days to Cover,6.34206
Float,47.30445
Shares Outstanding,49.91082
Institutions Holding Shares,329.0
% Held by Institutions,0.936302
FCF Growth 5yr,-0.6374988428286746
