,ALRM
% Above Low,0.0352
% Held by Institutions,0.9362999999999999
52-Wk Range,['47.16 - 85.73']
Annual Dividend $,
Annual Dividend %,
Ask,48.88
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,40.0
Bid Size,100.0
Closing Price,48.82
Day Change $,-0.46
Day Change %,-0.009300000000000001
Day High,49.7
Day Low,48.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.87
Ex-dividend Date,No dividend
Historical Volatility,0.42200000000000004
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",55.95
Prev Close,49.28
Short Interest,0.0449
Today's Open,49.22
Volume,118487.0
Volume 10-day Avg,369455.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.27717391304347827
Growth 2yr High Est,-0.16216216216216217
Growth 2yr Consensus Est,-0.21966803760282022
Growth 5yr Low Est,-0.27717391304347827
Growth 5yr High Est,-0.16216216216216217
Growth 5yr Consensus Est,-0.21966803760282022
Growth 5yr Actual/Est,-0.0019140190245718058
Growth 3yr Historic,0.06837662337662337
Price/Earnings (TTM),55.94582
Price/Sales (TTM),2.93674
Price/Book (MRQ),4.09941
Price/Cash Flow (TTM),31.14801
5yr Low,32.0
5yr High,108.67
5yr Avg Return,0.13889999999999994
EPS Growth 5yr,0.3657265
Revenue Growth 5yr,0.23460889999999998
Dividend Growth 5yr,
Short Int Current Month,2121991.0
Short Int Prev Month,2303047.0
Short Int Pct of Float,0.044894100000000006
Days to Cover,6.34206
Float,47.30445
Shares Outstanding,49.91082
Institutions Holding Shares,329.0
FCF Growth 5yr,-0.6374988428286746
"Price/Earnings (TTM, GAAP)",55.95
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5837
Operating Profit Margin (TTM),0.057
Net Profit Margin (TTM),0.0563
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6885
EPS Growth (TTM),-0.23500000000000001
Revenue Growth (MRQ),0.015500000000000002
Revenue Growth (TTM),0.1536
Return On Equity (TTM),0.0796
Return On Assets (TTM),0.0375
Return On Investment (TTM),0.0424
Revenue Per Employee (TTM),553140.0
Total Debt/Total Capital (MRQ),0.4425
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),5.08
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-10 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-10 00:00:00
