,VCEL
% Above Low,0.21910000000000002
% Held by Institutions,1.0885
52-Wk Range,['17.30 - 43.97']
Annual Dividend $,
Annual Dividend %,
Ask,21.12
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.9
Bid,8.35
Bid Size,200.0
Closing Price,21.09
Day Change $,-0.38
Day Change %,-0.0177
Day High,21.74
Day Low,20.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.38
Ex-dividend Date,No dividend
Historical Volatility,0.7070000000000001
Last (size),25.0
Last (time),4:00p ET 11/28/22
Market Cap,995.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,21.47
Short Interest,0.1338
Today's Open,21.34
Volume,290191.0
Volume 10-day Avg,383364.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,1.0416666666666665
Growth 1yr High Est,0.8181818181818183
Growth 1yr Consensus Est,0.9299242424242424
Growth 2yr Low Est,0.2759353741496598
Growth 2yr High Est,-0.17840909090909085
Growth 2yr Consensus Est,0.04876314162028447
Growth 5yr Low Est,0.1379676870748299
Growth 5yr High Est,-0.08920454545454543
Growth 5yr Consensus Est,0.02438157081014225
Growth 5yr Actual/Est,-0.9621212121212122
Growth 3yr Historic,-1.2348484848484849
Price/Earnings (TTM),
Price/Sales (TTM),6.3661
Price/Book (MRQ),5.69851
Price/Cash Flow (TTM),
5yr Low,3.9
5yr High,68.94
5yr Avg Return,0.5127833333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.23490819999999998
Dividend Growth 5yr,
Short Int Current Month,6271646.0
Short Int Prev Month,6791392.0
Short Int Pct of Float,0.1337804
Days to Cover,9.018
Float,46.8885
Shares Outstanding,47.22299
Institutions Holding Shares,253.0
FCF Growth 5yr,1.252932974117687
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6629
Operating Profit Margin (TTM),-0.1193
Net Profit Margin (TTM),-0.11359999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2672
EPS Growth (TTM),-11.1424
Revenue Growth (MRQ),0.0406
Revenue Growth (TTM),0.0354
Return On Equity (TTM),-0.1082
Return On Assets (TTM),-0.0767
Return On Investment (TTM),-0.0849
Revenue Per Employee (TTM),566769.0
Total Debt/Total Capital (MRQ),0.0002
Change in Debt/Total Capital Quarter over Quarter,-0.0055000000000000005
Quick Ratio (MRQ),5.54
Interest Coverage (MRQ),
theStreet,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
theStreet since,2022-04-01 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
