,VCEL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),6.37,45.03,Valuation,0.14146124805685098
Price/Book (MRQ),5.7,12.61,Valuation,0.45202220459952425
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.6629,0.5874,Profitability,1.1285325161729656
Operating Profit Margin (TTM),-0.1193,-4.7459,Profitability,0.02513748709412335
Net Profit Margin (TTM),-0.11359999999999999,-4.5467,Profitability,0.024985154067785422
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.2672,-0.0014000000000000002,Gowth rates,-190.85714285714283
EPS Growth (TTM),-11.1424,0.027200000000000002,Gowth rates,-409.6470588235294
Revenue Growth (MRQ),0.0406,1.3963999999999999,Gowth rates,0.02907476367802922
Revenue Growth (TTM),0.0354,0.9747,Gowth rates,0.03631886734379809
Return On Equity (TTM),-0.1082,0.1967,Effectiveness,-0.5500762582613117
Return On Assets (TTM),-0.0767,0.0016,Effectiveness,-47.9375
Return On Investment (TTM),-0.0849,0.0219,Effectiveness,-3.8767123287671237
Revenue Per Employee (TTM),566769.0,1476201.0,Effectiveness,0.38393755321937867
Total Debt/Total Capital (MRQ),0.0002,0.4675,Financial strength,0.000427807486631016
Change in Debt/Total Capital Quarter over Quarter,-0.0055000000000000005,0.0036,Financial strength,-1.527777777777778
Quick Ratio (MRQ),5.54,2.06,Financial strength,2.6893203883495147
Interest Coverage (MRQ),,2.69,Financial strength,
